Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,01 ANDALUCÍA,Fabricación de elementos metálicos,0.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Fabricación y montaje,287.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,11 HOSTELERÍA Y TURISMO,268.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Actividades de panadería y pastelería,0.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Alojamiento y lavandería,27.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Cocina y restauración,241.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,12 IMAGEN PERSONAL,214.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Peluquería y estética,214.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,14 INDUSTRIAS ALIMENTARIAS,53.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Industrias alimentarias,53.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,16 INFORMÁTICA Y COMUNICACIONES,706.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Informática de oficina,159.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Informática y comunicaciones,547.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,17 INSTALACIÓN Y MANTENIMIENTO,0.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Mantenimiento de viviendas,0.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,"18 MADERA, MUEBLE Y CORCHO",76.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Carpintería y mueble,76.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,19 MARÍTIMO-PESQUERA,0.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Actividades marítimo-pesqueras,0.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,49.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Actividades domésticas y limpieza de edificios,49.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,"24 TEXTIL, CONFECCIÓN Y PIEL",17.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Arreglo y reparación de artículos textiles y de piel,5.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Tapicería y cortinaje,12.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,263.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Mantenimiento de embarcaciones deportivas y de recreo,4.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Mantenimiento de vehículos,259.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,26 VIDRIO Y CERÁMICA,6.0,BASICO
AMBOS SEXOS,01 ANDALUCÍA,Vidriería y alfarería,6.0,BASICO
AMBOS SEXOS,Almería,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,0.0,BASICO
AMBOS SEXOS,Almería,Acceso y Conservación en Instalaciones Deportivas,0.0,BASICO
AMBOS SEXOS,Almería,02 ADMINISTRACIÓN Y GESTIÓN,57.0,BASICO
AMBOS SEXOS,Almería,Servicios administrativos,57.0,BASICO
AMBOS SEXOS,Almería,03 AGRARIA,50.0,BASICO
AMBOS SEXOS,Almería,Actividades agropecuarias,7.0,BASICO
AMBOS SEXOS,Almería,Agro-jardinería y composiciones florales,39.0,BASICO
AMBOS SEXOS,Almería,Aprovechamientos forestales,4.0,BASICO
AMBOS SEXOS,Almería,04 ARTES GRÁFICAS,0.0,BASICO
AMBOS SEXOS,Almería,Artes gráficas,0.0,BASICO
AMBOS SEXOS,Almería,06 COMERCIO Y MARKETING,0.0,BASICO
