Sexo;Comunidad autónoma/provincia (1);Ciclo formativo (2);Total
AMBOS SEXOS;01 ANDALUCÍA;22 SEGURIDAD Y MEDIO AMBIENTE;673
AMBOS SEXOS;01 ANDALUCÍA;Emergencias y protección civil;673
AMBOS SEXOS;01 ANDALUCÍA;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;7.512
AMBOS SEXOS;01 ANDALUCÍA;Atención a personas en situación de dependencia;7.512
AMBOS SEXOS;01 ANDALUCÍA;24 TEXTIL, CONFECCIÓN Y PIEL;490
AMBOS SEXOS;01 ANDALUCÍA;Calzado y complementos de moda;23
AMBOS SEXOS;01 ANDALUCÍA;Confección y moda;442
AMBOS SEXOS;01 ANDALUCÍA;Fabricación y ennoblecimiento de productos textiles;25
AMBOS SEXOS;01 ANDALUCÍA;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;7.786
AMBOS SEXOS;01 ANDALUCÍA;Carrocería;1.766
AMBOS SEXOS;01 ANDALUCÍA;Conducción de vehículos de transporte por carretera;48
AMBOS SEXOS;01 ANDALUCÍA;Electromecánica de maquinaria;200
AMBOS SEXOS;01 ANDALUCÍA;Electromecánica de vehículos automóviles;5.468
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento de material rodante ferroviario;133
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento de embarcaciones de recreo;103
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento de estructuras de madera y mobiliario de embarcaciones;17
AMBOS SEXOS;01 ANDALUCÍA;Montaje de estructuras e instalación de sistemas aeronáuticos;51
AMBOS SEXOS;01 ANDALUCÍA;26 VIDRIO Y CERÁMICA;19
AMBOS SEXOS;01 ANDALUCÍA;Fabricación de productos cerámicos;19
AMBOS SEXOS;01 ANDALUCÍA;Total de alumnado que terminó;23.004
AMBOS SEXOS;01 ANDALUCÍA;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;1.808
AMBOS SEXOS;01 ANDALUCÍA;Guía en el medio natural y de tiempo libre;1.76
AMBOS SEXOS;01 ANDALUCÍA;Actividades ecuestres;48
AMBOS SEXOS;01 ANDALUCÍA;02 ADMINISTRACIÓN Y GESTIÓN;2.975
AMBOS SEXOS;01 ANDALUCÍA;Gestión administrativa;2.975
AMBOS SEXOS;01 ANDALUCÍA;Administración y gestión (n.d.);0
AMBOS SEXOS;01 ANDALUCÍA;03 AGRARIA;596
AMBOS SEXOS;01 ANDALUCÍA;Aprovechamiento y conservación del medio natural;229
AMBOS SEXOS;Almería;Jardinería y floristería;136
AMBOS SEXOS;Almería;Producción agroecológica;106
AMBOS SEXOS;Almería;Producción agropecuaria;125
AMBOS SEXOS;Almería;04 ARTES GRÁFICAS;147
AMBOS SEXOS;Almería;Impresión gráfica;33
