Sexo;Comunidad autónoma/provincia (1);Ciclo formativo (2);Total
AMBOS SEXOS;05 CANARIAS;Actividades ecuestres;9
AMBOS SEXOS;05 CANARIAS;02 ADMINISTRACIÓN Y GESTIÓN;762
AMBOS SEXOS;05 CANARIAS;Gestión administrativa;762
AMBOS SEXOS;05 CANARIAS;Administración y gestión (n.d.);0
AMBOS SEXOS;05 CANARIAS;03 AGRARIA;93
AMBOS SEXOS;05 CANARIAS;Aprovechamiento y conservación del medio natural;34
AMBOS SEXOS;05 CANARIAS;Jardinería y floristería;22
AMBOS SEXOS;05 CANARIAS;Producción agroecológica;8
AMBOS SEXOS;05 CANARIAS;Producción agropecuaria;29
AMBOS SEXOS;05 CANARIAS;04 ARTES GRÁFICAS;33
AMBOS SEXOS;05 CANARIAS;Impresión gráfica;10
AMBOS SEXOS;05 CANARIAS;Postimpresión y acabados gráficos;0
AMBOS SEXOS;05 CANARIAS;Preimpresión digital;23
AMBOS SEXOS;05 CANARIAS;06 COMERCIO Y MARKETING;434
AMBOS SEXOS;05 CANARIAS;Actividades comerciales;434
AMBOS SEXOS;05 CANARIAS;Comercialización de productos alimentarios;0
AMBOS SEXOS;05 CANARIAS;07 EDIFICACIÓN Y OBRA CIVIL;10
AMBOS SEXOS;05 CANARIAS;Construcción;0
AMBOS SEXOS;05 CANARIAS;Obras de interior, decoración y rehabilitación;10
AMBOS SEXOS;05 CANARIAS;08 ELECTRICIDAD Y ELECTRÓNICA;326
AMBOS SEXOS;05 CANARIAS;Instalaciones de telecomunicaciones;101
AMBOS SEXOS;05 CANARIAS;Instalaciones eléctricas y automáticas;225
AMBOS SEXOS;05 CANARIAS;09 ENERGÍA Y AGUA;13
AMBOS SEXOS;05 CANARIAS;Redes y estaciones de tratamiento de agua;13
AMBOS SEXOS;05 CANARIAS;10 FABRICACIÓN MECÁNICA;132
AMBOS SEXOS;05 CANARIAS;Conformado por moldeo de metales y polímeros;0
AMBOS SEXOS;05 CANARIAS;Joyería (LOGSE);0
AMBOS SEXOS;05 CANARIAS;Mecanizado;81
AMBOS SEXOS;05 CANARIAS;Soldadura y calderería;51
AMBOS SEXOS;05 CANARIAS;11 HOSTELERÍA Y TURISMO;213
AMBOS SEXOS;Las Palmas;Cocina y gastronomía;158
AMBOS SEXOS;Las Palmas;Servicios de restauración;55
AMBOS SEXOS;Las Palmas;12 IMAGEN PERSONAL;285
AMBOS SEXOS;Las Palmas;Estética y belleza;174
AMBOS SEXOS;Las Palmas;Peluquería y cosmética capilar;111
AMBOS SEXOS;Las Palmas;13 IMAGEN Y SONIDO;71
AMBOS SEXOS;Las Palmas;Vídeo, disc-jockey y sonido;71
AMBOS SEXOS;Las Palmas;14 INDUSTRIAS ALIMENTARIAS;39
AMBOS SEXOS;Las Palmas;Aceites de oliva y vinos;10
AMBOS SEXOS;Las Palmas;Elaboración de productos alimenticios;5
AMBOS SEXOS;Las Palmas;Panadería, repostería y confitería;24
AMBOS SEXOS;Las Palmas;15 INDUSTRIAS EXTRACTIVAS;0
AMBOS SEXOS;Las Palmas;Excavaciones y sondeos;0
AMBOS SEXOS;Las Palmas;Piedra natural;0
AMBOS SEXOS;Las Palmas;16 INFORMÁTICA Y COMUNICACIONES;565
AMBOS SEXOS;Las Palmas;Sistemas microinformáticos y redes;565
AMBOS SEXOS;Las Palmas;17 INSTALACIÓN Y MANTENIMIENTO;138
AMBOS SEXOS;Las Palmas;Instalaciones de producción de calor;18
AMBOS SEXOS;Las Palmas;Instalaciones frigoríficas y de climatización;76
AMBOS SEXOS;Las Palmas;Mantenimiento electromecánico;44
AMBOS SEXOS;Las Palmas;18 MADERA, MUEBLE Y CORCHO;11
AMBOS SEXOS;Las Palmas;Carpintería y mueble;0
AMBOS SEXOS;Las Palmas;Instalación y amueblamiento;11
AMBOS SEXOS;Las Palmas;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;Las Palmas;Cultivos acuícolas;0
AMBOS SEXOS;Las Palmas;Mantenimiento y control de la maquinaria de buques y embarcaciones;0
AMBOS SEXOS;Las Palmas;Navegación y pesca de litoral;0
AMBOS SEXOS;Las Palmas;Operaciones subacuáticas y hiperbáricas;0
AMBOS SEXOS;Las Palmas;20 QUÍMICA;37
AMBOS SEXOS;Las Palmas;Operaciones de laboratorio;37
AMBOS SEXOS;Las Palmas;Planta química;0
AMBOS SEXOS;Las Palmas;21 SANIDAD;1.498
AMBOS SEXOS;Las Palmas;Cuidados auxiliares de enfermería (LOGSE);1.03
AMBOS SEXOS;Las Palmas;Emergencias sanitarias;146
AMBOS SEXOS;Las Palmas;Farmacia y parafarmacia;322
AMBOS SEXOS;Las Palmas;22 SEGURIDAD Y MEDIO AMBIENTE;0
AMBOS SEXOS;Las Palmas;Emergencias y protección civil;0
AMBOS SEXOS;Las Palmas;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;385
AMBOS SEXOS;Las Palmas;Atención a personas en situación de dependencia;385
AMBOS SEXOS;Las Palmas;24 TEXTIL, CONFECCIÓN Y PIEL;17
AMBOS SEXOS;Las Palmas;Calzado y complementos de moda;0
AMBOS SEXOS;Las Palmas;Confección y moda;17
AMBOS SEXOS;Las Palmas;Fabricación y ennoblecimiento de productos textiles;0
AMBOS SEXOS;Las Palmas;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;261
AMBOS SEXOS;Las Palmas;Carrocería;67
AMBOS SEXOS;Las Palmas;Conducción de vehículos de transporte por carretera;0
AMBOS SEXOS;Las Palmas;Electromecánica de maquinaria;0
AMBOS SEXOS;Las Palmas;Electromecánica de vehículos automóviles;183
AMBOS SEXOS;Santa Cruz de Tenerife;Mantenimiento de material rodante ferroviario;0
AMBOS SEXOS;Santa Cruz de Tenerife;Mantenimiento de embarcaciones de recreo;0
AMBOS SEXOS;Santa Cruz de Tenerife;Mantenimiento de estructuras de madera y mobiliario de embarcaciones;0
AMBOS SEXOS;Santa Cruz de Tenerife;Montaje de estructuras e instalación de sistemas aeronáuticos;11
AMBOS SEXOS;Santa Cruz de Tenerife;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Santa Cruz de Tenerife;Fabricación de productos cerámicos;0
AMBOS SEXOS;Santa Cruz de Tenerife;Total de alumnado que terminó;3.039
AMBOS SEXOS;Santa Cruz de Tenerife;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;137
AMBOS SEXOS;Santa Cruz de Tenerife;Guía en el medio natural y de tiempo libre;137
AMBOS SEXOS;Santa Cruz de Tenerife;Actividades ecuestres;0
AMBOS SEXOS;Santa Cruz de Tenerife;02 ADMINISTRACIÓN Y GESTIÓN;389
AMBOS SEXOS;Santa Cruz de Tenerife;Gestión administrativa;389
AMBOS SEXOS;Santa Cruz de Tenerife;Administración y gestión (n.d.);0
AMBOS SEXOS;Santa Cruz de Tenerife;03 AGRARIA;124
AMBOS SEXOS;Santa Cruz de Tenerife;Aprovechamiento y conservación del medio natural;57
AMBOS SEXOS;Santa Cruz de Tenerife;Jardinería y floristería;12
AMBOS SEXOS;Santa Cruz de Tenerife;Producción agroecológica;0
AMBOS SEXOS;Santa Cruz de Tenerife;Producción agropecuaria;55
AMBOS SEXOS;Santa Cruz de Tenerife;04 ARTES GRÁFICAS;41
AMBOS SEXOS;Santa Cruz de Tenerife;Impresión gráfica;16
AMBOS SEXOS;Santa Cruz de Tenerife;Postimpresión y acabados gráficos;0
AMBOS SEXOS;Santa Cruz de Tenerife;Preimpresión digital;25
AMBOS SEXOS;Santa Cruz de Tenerife;06 COMERCIO Y MARKETING;100
AMBOS SEXOS;Santa Cruz de Tenerife;Actividades comerciales;100
AMBOS SEXOS;Santa Cruz de Tenerife;Comercialización de productos alimentarios;0
AMBOS SEXOS;Santa Cruz de Tenerife;07 EDIFICACIÓN Y OBRA CIVIL;16
AMBOS SEXOS;Santa Cruz de Tenerife;Construcción;2
AMBOS SEXOS;Santa Cruz de Tenerife;Obras de interior, decoración y rehabilitación;14
AMBOS SEXOS;Santa Cruz de Tenerife;08 ELECTRICIDAD Y ELECTRÓNICA;291
AMBOS SEXOS;Santa Cruz de Tenerife;Instalaciones de telecomunicaciones;126
AMBOS SEXOS;Santa Cruz de Tenerife;Instalaciones eléctricas y automáticas;165
AMBOS SEXOS;Santa Cruz de Tenerife;09 ENERGÍA Y AGUA;0
AMBOS SEXOS;Santa Cruz de Tenerife;Redes y estaciones de tratamiento de agua;0
AMBOS SEXOS;Santa Cruz de Tenerife;10 FABRICACIÓN MECÁNICA;141
AMBOS SEXOS;Santa Cruz de Tenerife;Conformado por moldeo de metales y polímeros;6
AMBOS SEXOS;Santa Cruz de Tenerife;Joyería (LOGSE);0
AMBOS SEXOS;Santa Cruz de Tenerife;Mecanizado;66
AMBOS SEXOS;Santa Cruz de Tenerife;Soldadura y calderería;69
AMBOS SEXOS;Santa Cruz de Tenerife;11 HOSTELERÍA Y TURISMO;92
AMBOS SEXOS;Santa Cruz de Tenerife;Cocina y gastronomía;68
AMBOS SEXOS;Santa Cruz de Tenerife;Servicios de restauración;24
AMBOS SEXOS;Santa Cruz de Tenerife;12 IMAGEN PERSONAL;145
AMBOS SEXOS;Santa Cruz de Tenerife;Estética y belleza;68
AMBOS SEXOS;Santa Cruz de Tenerife;Peluquería y cosmética capilar;77
AMBOS SEXOS;Santa Cruz de Tenerife;13 IMAGEN Y SONIDO;57
AMBOS SEXOS;Santa Cruz de Tenerife;Vídeo, disc-jockey y sonido;57
AMBOS SEXOS;Santa Cruz de Tenerife;14 INDUSTRIAS ALIMENTARIAS;31
AMBOS SEXOS;Santa Cruz de Tenerife;Aceites de oliva y vinos;3
AMBOS SEXOS;06 CANTABRIA;Elaboración de productos alimenticios;11
AMBOS SEXOS;06 CANTABRIA;Panadería, repostería y confitería;17
AMBOS SEXOS;06 CANTABRIA;15 INDUSTRIAS EXTRACTIVAS;5
AMBOS SEXOS;06 CANTABRIA;Excavaciones y sondeos;5
AMBOS SEXOS;06 CANTABRIA;Piedra natural;0
AMBOS SEXOS;06 CANTABRIA;16 INFORMÁTICA Y COMUNICACIONES;287
AMBOS SEXOS;06 CANTABRIA;Sistemas microinformáticos y redes;287
AMBOS SEXOS;06 CANTABRIA;17 INSTALACIÓN Y MANTENIMIENTO;127
AMBOS SEXOS;06 CANTABRIA;Instalaciones de producción de calor;21
AMBOS SEXOS;06 CANTABRIA;Instalaciones frigoríficas y de climatización;27
AMBOS SEXOS;06 CANTABRIA;Mantenimiento electromecánico;79
AMBOS SEXOS;06 CANTABRIA;18 MADERA, MUEBLE Y CORCHO;17
AMBOS SEXOS;06 CANTABRIA;Carpintería y mueble;5
AMBOS SEXOS;06 CANTABRIA;Instalación y amueblamiento;12
AMBOS SEXOS;06 CANTABRIA;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;06 CANTABRIA;Cultivos acuícolas;0
AMBOS SEXOS;06 CANTABRIA;Mantenimiento y control de la maquinaria de buques y embarcaciones;0
AMBOS SEXOS;06 CANTABRIA;Navegación y pesca de litoral;0
AMBOS SEXOS;06 CANTABRIA;Operaciones subacuáticas y hiperbáricas;0
AMBOS SEXOS;06 CANTABRIA;20 QUÍMICA;30
AMBOS SEXOS;06 CANTABRIA;Operaciones de laboratorio;25
AMBOS SEXOS;06 CANTABRIA;Planta química;5
AMBOS SEXOS;06 CANTABRIA;21 SANIDAD;554
AMBOS SEXOS;06 CANTABRIA;Cuidados auxiliares de enfermería (LOGSE);384
AMBOS SEXOS;06 CANTABRIA;Emergencias sanitarias;52
AMBOS SEXOS;06 CANTABRIA;Farmacia y parafarmacia;118
AMBOS SEXOS;06 CANTABRIA;22 SEGURIDAD Y MEDIO AMBIENTE;65
AMBOS SEXOS;06 CANTABRIA;Emergencias y protección civil;65
AMBOS SEXOS;06 CANTABRIA;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;155
AMBOS SEXOS;06 CANTABRIA;Atención a personas en situación de dependencia;155
AMBOS SEXOS;06 CANTABRIA;24 TEXTIL, CONFECCIÓN Y PIEL;12
AMBOS SEXOS;06 CANTABRIA;Calzado y complementos de moda;0
AMBOS SEXOS;06 CANTABRIA;Confección y moda;12
AMBOS SEXOS;06 CANTABRIA;Fabricación y ennoblecimiento de productos textiles;0
AMBOS SEXOS;06 CANTABRIA;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;223
AMBOS SEXOS;06 CANTABRIA;Carrocería;44
AMBOS SEXOS;06 CANTABRIA;Conducción de vehículos de transporte por carretera;0
AMBOS SEXOS;06 CANTABRIA;Electromecánica de maquinaria;17
AMBOS SEXOS;06 CANTABRIA;Electromecánica de vehículos automóviles;162
AMBOS SEXOS;06 CANTABRIA;Mantenimiento de material rodante ferroviario;0
AMBOS SEXOS;06 CANTABRIA;Mantenimiento de embarcaciones de recreo;0
AMBOS SEXOS;06 CANTABRIA;Mantenimiento de estructuras de madera y mobiliario de embarcaciones;0
AMBOS SEXOS;06 CANTABRIA;Montaje de estructuras e instalación de sistemas aeronáuticos;0
AMBOS SEXOS;06 CANTABRIA;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;06 CANTABRIA;Fabricación de productos cerámicos;0
AMBOS SEXOS;06 CANTABRIA;Total de alumnado que terminó;430
AMBOS SEXOS;06 CANTABRIA;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;9
AMBOS SEXOS;06 CANTABRIA;Guía en el medio natural y de tiempo libre;9
AMBOS SEXOS;07 CASTILLA Y LEÓN;Actividades ecuestres;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;02 ADMINISTRACIÓN Y GESTIÓN;53
AMBOS SEXOS;07 CASTILLA Y LEÓN;Gestión administrativa;53
AMBOS SEXOS;07 CASTILLA Y LEÓN;Administración y gestión (n.d.);0
AMBOS SEXOS;07 CASTILLA Y LEÓN;03 AGRARIA;42
AMBOS SEXOS;07 CASTILLA Y LEÓN;Aprovechamiento y conservación del medio natural;26
AMBOS SEXOS;07 CASTILLA Y LEÓN;Jardinería y floristería;5
AMBOS SEXOS;07 CASTILLA Y LEÓN;Producción agroecológica;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;Producción agropecuaria;11
AMBOS SEXOS;07 CASTILLA Y LEÓN;04 ARTES GRÁFICAS;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;Impresión gráfica;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;Postimpresión y acabados gráficos;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;Preimpresión digital;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;06 COMERCIO Y MARKETING;14
AMBOS SEXOS;07 CASTILLA Y LEÓN;Actividades comerciales;14
AMBOS SEXOS;07 CASTILLA Y LEÓN;Comercialización de productos alimentarios;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;07 EDIFICACIÓN Y OBRA CIVIL;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;Construcción;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;Obras de interior, decoración y rehabilitación;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;08 ELECTRICIDAD Y ELECTRÓNICA;30
AMBOS SEXOS;07 CASTILLA Y LEÓN;Instalaciones de telecomunicaciones;5
AMBOS SEXOS;07 CASTILLA Y LEÓN;Instalaciones eléctricas y automáticas;25
AMBOS SEXOS;07 CASTILLA Y LEÓN;09 ENERGÍA Y AGUA;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;Redes y estaciones de tratamiento de agua;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;10 FABRICACIÓN MECÁNICA;27
AMBOS SEXOS;07 CASTILLA Y LEÓN;Conformado por moldeo de metales y polímeros;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;Joyería (LOGSE);0
AMBOS SEXOS;07 CASTILLA Y LEÓN;Mecanizado;17
AMBOS SEXOS;07 CASTILLA Y LEÓN;Soldadura y calderería;10
AMBOS SEXOS;07 CASTILLA Y LEÓN;11 HOSTELERÍA Y TURISMO;25
AMBOS SEXOS;07 CASTILLA Y LEÓN;Cocina y gastronomía;23
AMBOS SEXOS;07 CASTILLA Y LEÓN;Servicios de restauración;2
AMBOS SEXOS;07 CASTILLA Y LEÓN;12 IMAGEN PERSONAL;10
AMBOS SEXOS;07 CASTILLA Y LEÓN;Estética y belleza;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;Peluquería y cosmética capilar;10
AMBOS SEXOS;07 CASTILLA Y LEÓN;13 IMAGEN Y SONIDO;15
AMBOS SEXOS;07 CASTILLA Y LEÓN;Vídeo, disc-jockey y sonido;15
AMBOS SEXOS;07 CASTILLA Y LEÓN;14 INDUSTRIAS ALIMENTARIAS;13
AMBOS SEXOS;07 CASTILLA Y LEÓN;Aceites de oliva y vinos;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;Elaboración de productos alimenticios;6
AMBOS SEXOS;07 CASTILLA Y LEÓN;Panadería, repostería y confitería;7
AMBOS SEXOS;07 CASTILLA Y LEÓN;15 INDUSTRIAS EXTRACTIVAS;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;Excavaciones y sondeos;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;Piedra natural;0
AMBOS SEXOS;07 CASTILLA Y LEÓN;16 INFORMÁTICA Y COMUNICACIONES;40
AMBOS SEXOS;07 CASTILLA Y LEÓN;Sistemas microinformáticos y redes;40
AMBOS SEXOS;07 CASTILLA Y LEÓN;17 INSTALACIÓN Y MANTENIMIENTO;32
AMBOS SEXOS;07 CASTILLA Y LEÓN;Instalaciones de producción de calor;3
AMBOS SEXOS;Ávila;Instalaciones frigoríficas y de climatización;9
AMBOS SEXOS;Ávila;Mantenimiento electromecánico;20
AMBOS SEXOS;Ávila;18 MADERA, MUEBLE Y CORCHO;0
AMBOS SEXOS;Ávila;Carpintería y mueble;0
AMBOS SEXOS;Ávila;Instalación y amueblamiento;0
AMBOS SEXOS;Ávila;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;Ávila;Cultivos acuícolas;0
AMBOS SEXOS;Ávila;Mantenimiento y control de la maquinaria de buques y embarcaciones;0
AMBOS SEXOS;Ávila;Navegación y pesca de litoral;0
AMBOS SEXOS;Ávila;Operaciones subacuáticas y hiperbáricas;0
AMBOS SEXOS;Ávila;20 QUÍMICA;12
AMBOS SEXOS;Ávila;Operaciones de laboratorio;7
AMBOS SEXOS;Ávila;Planta química;5
AMBOS SEXOS;Ávila;21 SANIDAD;54
AMBOS SEXOS;Ávila;Cuidados auxiliares de enfermería (LOGSE);54
AMBOS SEXOS;Ávila;Emergencias sanitarias;0
AMBOS SEXOS;Ávila;Farmacia y parafarmacia;0
AMBOS SEXOS;Ávila;22 SEGURIDAD Y MEDIO AMBIENTE;0
AMBOS SEXOS;Ávila;Emergencias y protección civil;0
AMBOS SEXOS;Ávila;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;28
AMBOS SEXOS;Ávila;Atención a personas en situación de dependencia;28
AMBOS SEXOS;Ávila;24 TEXTIL, CONFECCIÓN Y PIEL;0
AMBOS SEXOS;Ávila;Calzado y complementos de moda;0
AMBOS SEXOS;Ávila;Confección y moda;0
AMBOS SEXOS;Ávila;Fabricación y ennoblecimiento de productos textiles;0
AMBOS SEXOS;Ávila;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;26
AMBOS SEXOS;Ávila;Carrocería;12
AMBOS SEXOS;Ávila;Conducción de vehículos de transporte por carretera;0
AMBOS SEXOS;Ávila;Electromecánica de maquinaria;0
AMBOS SEXOS;Ávila;Electromecánica de vehículos automóviles;14
AMBOS SEXOS;Ávila;Mantenimiento de material rodante ferroviario;0
AMBOS SEXOS;Ávila;Mantenimiento de embarcaciones de recreo;0
AMBOS SEXOS;Ávila;Mantenimiento de estructuras de madera y mobiliario de embarcaciones;0
AMBOS SEXOS;Ávila;Montaje de estructuras e instalación de sistemas aeronáuticos;0
AMBOS SEXOS;Ávila;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Ávila;Fabricación de productos cerámicos;0
AMBOS SEXOS;Ávila;Total de alumnado que terminó;461
AMBOS SEXOS;Ávila;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;13
AMBOS SEXOS;Ávila;Guía en el medio natural y de tiempo libre;13
AMBOS SEXOS;Ávila;Actividades ecuestres;0
AMBOS SEXOS;Ávila;02 ADMINISTRACIÓN Y GESTIÓN;50
AMBOS SEXOS;Ávila;Gestión administrativa;50
AMBOS SEXOS;Ávila;Administración y gestión (n.d.);0
AMBOS SEXOS;Ávila;03 AGRARIA;29
AMBOS SEXOS;Ávila;Aprovechamiento y conservación del medio natural;15
AMBOS SEXOS;Ávila;Jardinería y floristería;0
AMBOS SEXOS;Ávila;Producción agroecológica;0
AMBOS SEXOS;Ávila;Producción agropecuaria;14
AMBOS SEXOS;Burgos;04 ARTES GRÁFICAS;0
AMBOS SEXOS;Burgos;Impresión gráfica;0
AMBOS SEXOS;Burgos;Postimpresión y acabados gráficos;0
AMBOS SEXOS;Burgos;Preimpresión digital;0
AMBOS SEXOS;Burgos;06 COMERCIO Y MARKETING;0
AMBOS SEXOS;Burgos;Actividades comerciales;0
AMBOS SEXOS;Burgos;Comercialización de productos alimentarios;0
AMBOS SEXOS;Burgos;07 EDIFICACIÓN Y OBRA CIVIL;0
AMBOS SEXOS;Burgos;Construcción;0
AMBOS SEXOS;Burgos;Obras de interior, decoración y rehabilitación;0
AMBOS SEXOS;Burgos;08 ELECTRICIDAD Y ELECTRÓNICA;41
AMBOS SEXOS;Burgos;Instalaciones de telecomunicaciones;0
AMBOS SEXOS;Burgos;Instalaciones eléctricas y automáticas;41
AMBOS SEXOS;Burgos;09 ENERGÍA Y AGUA;0
AMBOS SEXOS;Burgos;Redes y estaciones de tratamiento de agua;0
AMBOS SEXOS;Burgos;10 FABRICACIÓN MECÁNICA;0
AMBOS SEXOS;Burgos;Conformado por moldeo de metales y polímeros;0
AMBOS SEXOS;Burgos;Joyería (LOGSE);0
AMBOS SEXOS;Burgos;Mecanizado;0
AMBOS SEXOS;Burgos;Soldadura y calderería;0
AMBOS SEXOS;Burgos;11 HOSTELERÍA Y TURISMO;22
AMBOS SEXOS;Burgos;Cocina y gastronomía;14
AMBOS SEXOS;Burgos;Servicios de restauración;8
AMBOS SEXOS;Burgos;12 IMAGEN PERSONAL;9
AMBOS SEXOS;Burgos;Estética y belleza;0
AMBOS SEXOS;Burgos;Peluquería y cosmética capilar;9
AMBOS SEXOS;Burgos;13 IMAGEN Y SONIDO;0
AMBOS SEXOS;Burgos;Vídeo, disc-jockey y sonido;0
AMBOS SEXOS;Burgos;14 INDUSTRIAS ALIMENTARIAS;3
AMBOS SEXOS;Burgos;Aceites de oliva y vinos;0
AMBOS SEXOS;Burgos;Elaboración de productos alimenticios;1
AMBOS SEXOS;Burgos;Panadería, repostería y confitería;2
AMBOS SEXOS;Burgos;15 INDUSTRIAS EXTRACTIVAS;0
AMBOS SEXOS;Burgos;Excavaciones y sondeos;0
AMBOS SEXOS;Burgos;Piedra natural;0
AMBOS SEXOS;Burgos;16 INFORMÁTICA Y COMUNICACIONES;41
AMBOS SEXOS;Burgos;Sistemas microinformáticos y redes;41
AMBOS SEXOS;Burgos;17 INSTALACIÓN Y MANTENIMIENTO;11
AMBOS SEXOS;Burgos;Instalaciones de producción de calor;4
AMBOS SEXOS;Burgos;Instalaciones frigoríficas y de climatización;0
AMBOS SEXOS;Burgos;Mantenimiento electromecánico;7
AMBOS SEXOS;Burgos;18 MADERA, MUEBLE Y CORCHO;6
AMBOS SEXOS;Burgos;Carpintería y mueble;0
AMBOS SEXOS;Burgos;Instalación y amueblamiento;6
AMBOS SEXOS;Burgos;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;Burgos;Cultivos acuícolas;0
AMBOS SEXOS;Burgos;Mantenimiento y control de la maquinaria de buques y embarcaciones;0
AMBOS SEXOS;Burgos;Navegación y pesca de litoral;0
AMBOS SEXOS;León;Operaciones subacuáticas y hiperbáricas;0
AMBOS SEXOS;León;20 QUÍMICA;0
AMBOS SEXOS;León;Operaciones de laboratorio;0
AMBOS SEXOS;León;Planta química;0
AMBOS SEXOS;León;21 SANIDAD;115
AMBOS SEXOS;León;Cuidados auxiliares de enfermería (LOGSE);88
AMBOS SEXOS;León;Emergencias sanitarias;12
AMBOS SEXOS;León;Farmacia y parafarmacia;15
AMBOS SEXOS;León;22 SEGURIDAD Y MEDIO AMBIENTE;45
AMBOS SEXOS;León;Emergencias y protección civil;45
AMBOS SEXOS;León;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;29
AMBOS SEXOS;León;Atención a personas en situación de dependencia;29
AMBOS SEXOS;León;24 TEXTIL, CONFECCIÓN Y PIEL;0
AMBOS SEXOS;León;Calzado y complementos de moda;0
AMBOS SEXOS;León;Confección y moda;0
AMBOS SEXOS;León;Fabricación y ennoblecimiento de productos textiles;0
AMBOS SEXOS;León;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;47
AMBOS SEXOS;León;Carrocería;0
AMBOS SEXOS;León;Conducción de vehículos de transporte por carretera;0
AMBOS SEXOS;León;Electromecánica de maquinaria;11
AMBOS SEXOS;León;Electromecánica de vehículos automóviles;36
AMBOS SEXOS;León;Mantenimiento de material rodante ferroviario;0
AMBOS SEXOS;León;Mantenimiento de embarcaciones de recreo;0
AMBOS SEXOS;León;Mantenimiento de estructuras de madera y mobiliario de embarcaciones;0
AMBOS SEXOS;León;Montaje de estructuras e instalación de sistemas aeronáuticos;0
AMBOS SEXOS;León;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;León;Fabricación de productos cerámicos;0
AMBOS SEXOS;León;Total de alumnado que terminó;2.148
AMBOS SEXOS;León;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;115
AMBOS SEXOS;León;Guía en el medio natural y de tiempo libre;115
AMBOS SEXOS;León;Actividades ecuestres;0
AMBOS SEXOS;León;02 ADMINISTRACIÓN Y GESTIÓN;286
AMBOS SEXOS;León;Gestión administrativa;286
AMBOS SEXOS;León;Administración y gestión (n.d.);0
AMBOS SEXOS;León;03 AGRARIA;53
AMBOS SEXOS;León;Aprovechamiento y conservación del medio natural;16
AMBOS SEXOS;León;Jardinería y floristería;7
AMBOS SEXOS;León;Producción agroecológica;0
AMBOS SEXOS;León;Producción agropecuaria;30
AMBOS SEXOS;León;04 ARTES GRÁFICAS;41
AMBOS SEXOS;León;Impresión gráfica;16
AMBOS SEXOS;León;Postimpresión y acabados gráficos;0
AMBOS SEXOS;León;Preimpresión digital;25
AMBOS SEXOS;León;06 COMERCIO Y MARKETING;86
AMBOS SEXOS;León;Actividades comerciales;86
AMBOS SEXOS;León;Comercialización de productos alimentarios;0
AMBOS SEXOS;León;07 EDIFICACIÓN Y OBRA CIVIL;16
AMBOS SEXOS;León;Construcción;2
AMBOS SEXOS;Palencia;Obras de interior, decoración y rehabilitación;14
AMBOS SEXOS;Palencia;08 ELECTRICIDAD Y ELECTRÓNICA;220
AMBOS SEXOS;Palencia;Instalaciones de telecomunicaciones;121
AMBOS SEXOS;Palencia;Instalaciones eléctricas y automáticas;99
AMBOS SEXOS;Palencia;09 ENERGÍA Y AGUA;0
AMBOS SEXOS;Palencia;Redes y estaciones de tratamiento de agua;0
AMBOS SEXOS;Palencia;10 FABRICACIÓN MECÁNICA;114
AMBOS SEXOS;Palencia;Conformado por moldeo de metales y polímeros;6
AMBOS SEXOS;Palencia;Joyería (LOGSE);0
AMBOS SEXOS;Palencia;Mecanizado;49
AMBOS SEXOS;Palencia;Soldadura y calderería;59
AMBOS SEXOS;Palencia;11 HOSTELERÍA Y TURISMO;45
AMBOS SEXOS;Palencia;Cocina y gastronomía;31
