Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
AMBOS SEXOS,Principado de Asturias,INDUSTRIAS EXTRACTIVAS,,SUPERIOR
AMBOS SEXOS,Principado de Asturias,INFORMÁTICA Y COMUNICACIONES,77.9,SUPERIOR
AMBOS SEXOS,Principado de Asturias,INSTALACIÓN Y MANTENIMIENTO,77.8,SUPERIOR
AMBOS SEXOS,Principado de Asturias,"MADERA, MUEBLE Y CORCHO",,SUPERIOR
AMBOS SEXOS,Principado de Asturias,MARÍTIMO-PESQUERA,79.6,SUPERIOR
AMBOS SEXOS,Principado de Asturias,QUÍMICA,80.7,SUPERIOR
AMBOS SEXOS,Principado de Asturias,SANIDAD,92.9,SUPERIOR
AMBOS SEXOS,Principado de Asturias,SEGURIDAD Y MEDIO AMBIENTE,86.2,SUPERIOR
AMBOS SEXOS,Principado de Asturias,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,84.5,SUPERIOR
AMBOS SEXOS,Principado de Asturias,"TEXTIL, CONFECCIÓN Y PIEL",,SUPERIOR
AMBOS SEXOS,Principado de Asturias,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,78.1,SUPERIOR
AMBOS SEXOS,Principado de Asturias,VIDRIO Y CERÁMICA,,SUPERIOR
AMBOS SEXOS,Islas Baleares,ACTIVIDADES FÍSICAS Y DEPORTIVAS,94.3,SUPERIOR
AMBOS SEXOS,Islas Baleares,ADMINISTRACIÓN Y GESTIÓN,91.3,SUPERIOR
AMBOS SEXOS,Islas Baleares,AGRARIA,92.7,SUPERIOR
AMBOS SEXOS,Islas Baleares,ARTES GRÁFICAS,98.6,SUPERIOR
AMBOS SEXOS,Islas Baleares,ARTES Y ARTESANÍAS,,SUPERIOR
AMBOS SEXOS,Islas Baleares,COMERCIO Y MARKETING,96.2,SUPERIOR
AMBOS SEXOS,Islas Baleares,EDIFICACIÓN Y OBRA CIVIL,87.0,SUPERIOR
AMBOS SEXOS,Islas Baleares,ELECTRICIDAD Y ELECTRÓNICA,85.6,SUPERIOR
AMBOS SEXOS,Islas Baleares,ENERGÍA Y AGUA,97.3,SUPERIOR
AMBOS SEXOS,Islas Baleares,FABRICACIÓN MECÁNICA,,SUPERIOR
AMBOS SEXOS,Islas Baleares,HOSTELERÍA Y TURISMO,92.8,SUPERIOR
AMBOS SEXOS,Islas Baleares,IMAGEN PERSONAL,93.3,SUPERIOR
AMBOS SEXOS,Islas Baleares,IMAGEN Y SONIDO,94.5,SUPERIOR
AMBOS SEXOS,Islas Baleares,INDUSTRIAS ALIMENTARIAS,87.2,SUPERIOR
AMBOS SEXOS,Islas Baleares,INDUSTRIAS EXTRACTIVAS,,SUPERIOR
AMBOS SEXOS,Islas Baleares,INFORMÁTICA Y COMUNICACIONES,90.4,SUPERIOR
AMBOS SEXOS,Islas Baleares,INSTALACIÓN Y MANTENIMIENTO,91.3,SUPERIOR
AMBOS SEXOS,Islas Baleares,"MADERA, MUEBLE Y CORCHO",99.1,SUPERIOR
AMBOS SEXOS,Islas Baleares,MARÍTIMO-PESQUERA,91.5,SUPERIOR
AMBOS SEXOS,Islas Baleares,QUÍMICA,86.5,SUPERIOR
AMBOS SEXOS,Islas Baleares,SANIDAD,90.4,SUPERIOR
AMBOS SEXOS,Islas Baleares,SEGURIDAD Y MEDIO AMBIENTE,,SUPERIOR
AMBOS SEXOS,Islas Baleares,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,95.7,SUPERIOR
AMBOS SEXOS,Islas Baleares,"TEXTIL, CONFECCIÓN Y PIEL",,SUPERIOR
AMBOS SEXOS,Islas Baleares,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,90.9,SUPERIOR
AMBOS SEXOS,Islas Baleares,VIDRIO Y CERÁMICA,,SUPERIOR
AMBOS SEXOS,Canarias,ACTIVIDADES FÍSICAS Y DEPORTIVAS,88.5,SUPERIOR
AMBOS SEXOS,Canarias,ADMINISTRACIÓN Y GESTIÓN,88.0,SUPERIOR
AMBOS SEXOS,Canarias,AGRARIA,82.4,SUPERIOR
AMBOS SEXOS,Canarias,ARTES GRÁFICAS,79.4,SUPERIOR
AMBOS SEXOS,Canarias,ARTES Y ARTESANÍAS,,SUPERIOR
AMBOS SEXOS,Canarias,COMERCIO Y MARKETING,91.5,SUPERIOR
AMBOS SEXOS,Canarias,EDIFICACIÓN Y OBRA CIVIL,83.4,SUPERIOR
AMBOS SEXOS,Canarias,ELECTRICIDAD Y ELECTRÓNICA,85.2,SUPERIOR
AMBOS SEXOS,Canarias,ENERGÍA Y AGUA,87.8,SUPERIOR
AMBOS SEXOS,Canarias,FABRICACIÓN MECÁNICA,75.1,SUPERIOR
AMBOS SEXOS,Canarias,HOSTELERÍA Y TURISMO,86.0,SUPERIOR
AMBOS SEXOS,Canarias,IMAGEN PERSONAL,93.2,SUPERIOR
AMBOS SEXOS,Canarias,IMAGEN Y SONIDO,89.6,SUPERIOR
AMBOS SEXOS,Canarias,INDUSTRIAS ALIMENTARIAS,83.9,SUPERIOR
AMBOS SEXOS,Canarias,INDUSTRIAS EXTRACTIVAS,,SUPERIOR
AMBOS SEXOS,Canarias,INFORMÁTICA Y COMUNICACIONES,77.3,SUPERIOR
AMBOS SEXOS,Canarias,INSTALACIÓN Y MANTENIMIENTO,81.3,SUPERIOR
AMBOS SEXOS,Canarias,"MADERA, MUEBLE Y CORCHO",80.7,SUPERIOR
AMBOS SEXOS,Canarias,MARÍTIMO-PESQUERA,89.2,SUPERIOR
AMBOS SEXOS,Canarias,QUÍMICA,89.8,SUPERIOR
AMBOS SEXOS,Canarias,SANIDAD,95.1,SUPERIOR
AMBOS SEXOS,Canarias,SEGURIDAD Y MEDIO AMBIENTE,87.4,SUPERIOR
AMBOS SEXOS,Canarias,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,93.7,SUPERIOR
AMBOS SEXOS,Canarias,"TEXTIL, CONFECCIÓN Y PIEL",89.3,SUPERIOR
AMBOS SEXOS,Canarias,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,86.5,SUPERIOR
AMBOS SEXOS,Canarias,VIDRIO Y CERÁMICA,,SUPERIOR
AMBOS SEXOS,Cantabria,ACTIVIDADES FÍSICAS Y DEPORTIVAS,94.9,SUPERIOR
AMBOS SEXOS,Cantabria,ADMINISTRACIÓN Y GESTIÓN,95.3,SUPERIOR
AMBOS SEXOS,Cantabria,AGRARIA,84.7,SUPERIOR
AMBOS SEXOS,Cantabria,ARTES GRÁFICAS,94.3,SUPERIOR
AMBOS SEXOS,Cantabria,ARTES Y ARTESANÍAS,,SUPERIOR
AMBOS SEXOS,Cantabria,COMERCIO Y MARKETING,94.8,SUPERIOR
AMBOS SEXOS,Cantabria,EDIFICACIÓN Y OBRA CIVIL,91.1,SUPERIOR
AMBOS SEXOS,Cantabria,ELECTRICIDAD Y ELECTRÓNICA,85.5,SUPERIOR
AMBOS SEXOS,Cantabria,ENERGÍA Y AGUA,94.8,SUPERIOR
AMBOS SEXOS,Cantabria,FABRICACIÓN MECÁNICA,89.8,SUPERIOR
AMBOS SEXOS,Cantabria,HOSTELERÍA Y TURISMO,90.4,SUPERIOR
AMBOS SEXOS,Cantabria,IMAGEN PERSONAL,91.2,SUPERIOR
AMBOS SEXOS,Cantabria,IMAGEN Y SONIDO,89.9,SUPERIOR
AMBOS SEXOS,Cantabria,INDUSTRIAS ALIMENTARIAS,85.1,SUPERIOR
AMBOS SEXOS,Cantabria,INDUSTRIAS EXTRACTIVAS,,SUPERIOR
AMBOS SEXOS,Cantabria,INFORMÁTICA Y COMUNICACIONES,87.3,SUPERIOR
AMBOS SEXOS,Cantabria,INSTALACIÓN Y MANTENIMIENTO,93.8,SUPERIOR
AMBOS SEXOS,Cantabria,"MADERA, MUEBLE Y CORCHO",93.3,SUPERIOR
AMBOS SEXOS,Cantabria,MARÍTIMO-PESQUERA,,SUPERIOR
AMBOS SEXOS,Cantabria,QUÍMICA,97.6,SUPERIOR
AMBOS SEXOS,Cantabria,SANIDAD,96.4,SUPERIOR
AMBOS SEXOS,Cantabria,SEGURIDAD Y MEDIO AMBIENTE,93.9,SUPERIOR
AMBOS SEXOS,Cantabria,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,96.5,SUPERIOR
AMBOS SEXOS,Cantabria,"TEXTIL, CONFECCIÓN Y PIEL",,SUPERIOR
AMBOS SEXOS,Cantabria,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,87.9,SUPERIOR
AMBOS SEXOS,Cantabria,VIDRIO Y CERÁMICA,,SUPERIOR
AMBOS SEXOS,Castilla y León,ACTIVIDADES FÍSICAS Y DEPORTIVAS,86.2,SUPERIOR
AMBOS SEXOS,Castilla y León,ADMINISTRACIÓN Y GESTIÓN,83.2,SUPERIOR
AMBOS SEXOS,Castilla y León,AGRARIA,86.5,SUPERIOR
AMBOS SEXOS,Castilla y León,ARTES GRÁFICAS,78.9,SUPERIOR
AMBOS SEXOS,Castilla y León,ARTES Y ARTESANÍAS,,SUPERIOR
AMBOS SEXOS,Castilla y León,COMERCIO Y MARKETING,78.6,SUPERIOR
AMBOS SEXOS,Castilla y León,EDIFICACIÓN Y OBRA CIVIL,63.5,SUPERIOR
AMBOS SEXOS,Castilla y León,ELECTRICIDAD Y ELECTRÓNICA,77.5,SUPERIOR
AMBOS SEXOS,Castilla y León,ENERGÍA Y AGUA,85.8,SUPERIOR
AMBOS SEXOS,Castilla y León,FABRICACIÓN MECÁNICA,76.9,SUPERIOR
AMBOS SEXOS,Castilla y León,HOSTELERÍA Y TURISMO,76.9,SUPERIOR
AMBOS SEXOS,Castilla y León,IMAGEN PERSONAL,85.2,SUPERIOR
AMBOS SEXOS,Castilla y León,IMAGEN Y SONIDO,84.2,SUPERIOR
AMBOS SEXOS,Castilla y León,INDUSTRIAS ALIMENTARIAS,79.1,SUPERIOR
AMBOS SEXOS,Castilla y León,INDUSTRIAS EXTRACTIVAS,,SUPERIOR
AMBOS SEXOS,Castilla y León,INFORMÁTICA Y COMUNICACIONES,77.7,SUPERIOR
AMBOS SEXOS,Castilla y León,INSTALACIÓN Y MANTENIMIENTO,85.8,SUPERIOR
AMBOS SEXOS,Castilla y León,"MADERA, MUEBLE Y CORCHO",74.3,SUPERIOR
AMBOS SEXOS,Castilla y León,MARÍTIMO-PESQUERA,,SUPERIOR
AMBOS SEXOS,Castilla y León,QUÍMICA,77.5,SUPERIOR
AMBOS SEXOS,Castilla y León,SANIDAD,84.3,SUPERIOR
AMBOS SEXOS,Castilla y León,SEGURIDAD Y MEDIO AMBIENTE,76.7,SUPERIOR
AMBOS SEXOS,Castilla y León,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,89.5,SUPERIOR
AMBOS SEXOS,Castilla y León,"TEXTIL, CONFECCIÓN Y PIEL",90.5,SUPERIOR
AMBOS SEXOS,Castilla y León,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,90.5,SUPERIOR
AMBOS SEXOS,Castilla y León,VIDRIO Y CERÁMICA,,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,ACTIVIDADES FÍSICAS Y DEPORTIVAS,97.7,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,ADMINISTRACIÓN Y GESTIÓN,97.3,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,AGRARIA,97.4,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,ARTES GRÁFICAS,,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,ARTES Y ARTESANÍAS,,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,COMERCIO Y MARKETING,98.2,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,EDIFICACIÓN Y OBRA CIVIL,95.3,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,ELECTRICIDAD Y ELECTRÓNICA,97.3,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,ENERGÍA Y AGUA,98.7,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,FABRICACIÓN MECÁNICA,98.7,SUPERIOR
AMBOS SEXOS,Castilla La Mancha,HOSTELERÍA Y TURISMO,97.9,SUPERIOR
