Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,01 ANDALUCÍA,Mantenimiento y control de la maquinaria de buques y embarcaciones,187.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Navegación y pesca de litoral,133.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Operaciones subacuáticas y hiperbáricas,121.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,20 QUÍMICA,998.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Operaciones de laboratorio,799.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Planta química,199.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,21 SANIDAD,28.573,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Cuidados auxiliares de enfermería (LOGSE),19.737,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Emergencias sanitarias,3.254,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Farmacia y parafarmacia,5.582,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,22 SEGURIDAD Y MEDIO AMBIENTE,673.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Emergencias y protección civil,673.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,7.512,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Atención a personas en situación de dependencia,7.512,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,"24 TEXTIL, CONFECCIÓN Y PIEL",490.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Calzado y complementos de moda,23.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Confección y moda,442.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Fabricación y ennoblecimiento de productos textiles,25.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,7.786,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Carrocería,1.766,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Conducción de vehículos de transporte por carretera,48.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Electromecánica de maquinaria,200.0,MEDIO
AMBOS SEXOS,01 ANDALUCÍA,Electromecánica de vehículos automóviles,5.468,MEDIO
