Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
AMBOS SEXOS,Principado de Asturias,ELECTRICIDAD Y ELECTRÓNICA,63.9,MEDIO
AMBOS SEXOS,Principado de Asturias,ENERGÍA Y AGUA,,MEDIO
AMBOS SEXOS,Principado de Asturias,FABRICACIÓN MECÁNICA,68.0,MEDIO
AMBOS SEXOS,Principado de Asturias,HOSTELERÍA Y TURISMO,63.1,MEDIO
AMBOS SEXOS,Principado de Asturias,IMAGEN PERSONAL,70.3,MEDIO
AMBOS SEXOS,Principado de Asturias,IMAGEN Y SONIDO,85.1,MEDIO
AMBOS SEXOS,Principado de Asturias,INDUSTRIAS ALIMENTARIAS,73.5,MEDIO
AMBOS SEXOS,Principado de Asturias,INDUSTRIAS EXTRACTIVAS,,MEDIO
AMBOS SEXOS,Principado de Asturias,INFORMÁTICA Y COMUNICACIONES,74.5,MEDIO
AMBOS SEXOS,Principado de Asturias,INSTALACIÓN Y MANTENIMIENTO,66.7,MEDIO
AMBOS SEXOS,Principado de Asturias,"MADERA, MUEBLE Y CORCHO",66.9,MEDIO
AMBOS SEXOS,Principado de Asturias,MARÍTIMO-PESQUERA,72.7,MEDIO
AMBOS SEXOS,Principado de Asturias,QUÍMICA,74.3,MEDIO
AMBOS SEXOS,Principado de Asturias,SANIDAD,88.3,MEDIO
AMBOS SEXOS,Principado de Asturias,SEGURIDAD Y MEDIO AMBIENTE,,MEDIO
AMBOS SEXOS,Principado de Asturias,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,79.7,MEDIO
AMBOS SEXOS,Principado de Asturias,"TEXTIL, CONFECCIÓN Y PIEL",62.4,MEDIO
AMBOS SEXOS,Principado de Asturias,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,69.6,MEDIO
AMBOS SEXOS,Principado de Asturias,VIDRIO Y CERÁMICA,,MEDIO
AMBOS SEXOS,Islas Baleares,ACTIVIDADES FÍSICAS Y DEPORTIVAS,86.5,MEDIO
AMBOS SEXOS,Islas Baleares,ADMINISTRACIÓN Y GESTIÓN,82.8,MEDIO
AMBOS SEXOS,Islas Baleares,AGRARIA,81.5,MEDIO
AMBOS SEXOS,Islas Baleares,ARTES GRÁFICAS,88.9,MEDIO
