Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
AMBOS SEXOS,Principado de Asturias,IMAGEN PERSONAL,58.5,BASICO
AMBOS SEXOS,Principado de Asturias,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Principado de Asturias,INDUSTRIAS ALIMENTARIAS,,BASICO
AMBOS SEXOS,Principado de Asturias,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Principado de Asturias,INFORMÁTICA Y COMUNICACIONES,66.3,BASICO
AMBOS SEXOS,Principado de Asturias,INSTALACIÓN Y MANTENIMIENTO,,BASICO
AMBOS SEXOS,Principado de Asturias,"MADERA, MUEBLE Y CORCHO",67.2,BASICO
AMBOS SEXOS,Principado de Asturias,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,Principado de Asturias,QUÍMICA,,BASICO
AMBOS SEXOS,Principado de Asturias,SANIDAD,,BASICO
AMBOS SEXOS,Principado de Asturias,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Principado de Asturias,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,,BASICO
AMBOS SEXOS,Principado de Asturias,"TEXTIL, CONFECCIÓN Y PIEL",,BASICO
AMBOS SEXOS,Principado de Asturias,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,60.4,BASICO
AMBOS SEXOS,Principado de Asturias,VIDRIO Y CERÁMICA,,BASICO
AMBOS SEXOS,Islas Baleares,ACTIVIDADES FÍSICAS Y DEPORTIVAS,78.8,BASICO
AMBOS SEXOS,Islas Baleares,ADMINISTRACIÓN Y GESTIÓN,74.4,BASICO
AMBOS SEXOS,Islas Baleares,AGRARIA,77.2,BASICO
AMBOS SEXOS,Islas Baleares,ARTES GRÁFICAS,96.1,BASICO
AMBOS SEXOS,Islas Baleares,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,Islas Baleares,COMERCIO Y MARKETING,80.1,BASICO
AMBOS SEXOS,Islas Baleares,EDIFICACIÓN Y OBRA CIVIL,,BASICO
AMBOS SEXOS,Islas Baleares,ELECTRICIDAD Y ELECTRÓNICA,81.0,BASICO
AMBOS SEXOS,Islas Baleares,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Islas Baleares,FABRICACIÓN MECÁNICA,75.5,BASICO
AMBOS SEXOS,Islas Baleares,HOSTELERÍA Y TURISMO,79.1,BASICO
AMBOS SEXOS,Islas Baleares,IMAGEN PERSONAL,75.5,BASICO
AMBOS SEXOS,Islas Baleares,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Islas Baleares,INDUSTRIAS ALIMENTARIAS,,BASICO
AMBOS SEXOS,Islas Baleares,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Islas Baleares,INFORMÁTICA Y COMUNICACIONES,77.6,BASICO
AMBOS SEXOS,Islas Baleares,INSTALACIÓN Y MANTENIMIENTO,80.6,BASICO
AMBOS SEXOS,Islas Baleares,"MADERA, MUEBLE Y CORCHO",51.8,BASICO
AMBOS SEXOS,Islas Baleares,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,Islas Baleares,QUÍMICA,,BASICO
AMBOS SEXOS,Islas Baleares,SANIDAD,,BASICO
AMBOS SEXOS,Islas Baleares,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
