Sexo,Comunidad autónoma,Familia profesional,Porcentajes total de módulos aprobados,nivel_educativo
AMBOS SEXOS,Galicia,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Galicia,INFORMÁTICA Y COMUNICACIONES,81.7,BASICO
AMBOS SEXOS,Galicia,INSTALACIÓN Y MANTENIMIENTO,69.6,BASICO
AMBOS SEXOS,Galicia,"MADERA, MUEBLE Y CORCHO",74.4,BASICO
AMBOS SEXOS,Galicia,MARÍTIMO-PESQUERA,88.2,BASICO
AMBOS SEXOS,Galicia,QUÍMICA,,BASICO
AMBOS SEXOS,Galicia,SANIDAD,,BASICO
AMBOS SEXOS,Galicia,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Galicia,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,95.9,BASICO
AMBOS SEXOS,Galicia,"TEXTIL, CONFECCIÓN Y PIEL",53.2,BASICO
AMBOS SEXOS,Galicia,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,70.3,BASICO
AMBOS SEXOS,Galicia,VIDRIO Y CERÁMICA,,BASICO
AMBOS SEXOS,Comunidad de Madrid,ACTIVIDADES FÍSICAS Y DEPORTIVAS,,BASICO
AMBOS SEXOS,Comunidad de Madrid,ADMINISTRACIÓN Y GESTIÓN,65.4,BASICO
AMBOS SEXOS,Comunidad de Madrid,AGRARIA,72.7,BASICO
AMBOS SEXOS,Comunidad de Madrid,ARTES GRÁFICAS,68.9,BASICO
AMBOS SEXOS,Comunidad de Madrid,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,Comunidad de Madrid,COMERCIO Y MARKETING,68.1,BASICO
AMBOS SEXOS,Comunidad de Madrid,EDIFICACIÓN Y OBRA CIVIL,,BASICO
AMBOS SEXOS,Comunidad de Madrid,ELECTRICIDAD Y ELECTRÓNICA,59.6,BASICO
AMBOS SEXOS,Comunidad de Madrid,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Comunidad de Madrid,FABRICACIÓN MECÁNICA,65.1,BASICO
AMBOS SEXOS,Comunidad de Madrid,HOSTELERÍA Y TURISMO,68.5,BASICO
AMBOS SEXOS,Comunidad de Madrid,IMAGEN PERSONAL,64.5,BASICO
AMBOS SEXOS,Comunidad de Madrid,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Comunidad de Madrid,INDUSTRIAS ALIMENTARIAS,,BASICO
AMBOS SEXOS,Comunidad de Madrid,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Comunidad de Madrid,INFORMÁTICA Y COMUNICACIONES,65.2,BASICO
AMBOS SEXOS,Comunidad de Madrid,INSTALACIÓN Y MANTENIMIENTO,,BASICO
AMBOS SEXOS,Comunidad de Madrid,"MADERA, MUEBLE Y CORCHO",73.1,BASICO
AMBOS SEXOS,Comunidad de Madrid,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,Comunidad de Madrid,QUÍMICA,,BASICO
AMBOS SEXOS,Comunidad de Madrid,SANIDAD,,BASICO
AMBOS SEXOS,Comunidad de Madrid,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Comunidad de Madrid,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,,BASICO
AMBOS SEXOS,Comunidad de Madrid,"TEXTIL, CONFECCIÓN Y PIEL",,BASICO
AMBOS SEXOS,Comunidad de Madrid,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,57.6,BASICO
AMBOS SEXOS,Comunidad de Madrid,VIDRIO Y CERÁMICA,,BASICO
AMBOS SEXOS,Región de Murcia,ACTIVIDADES FÍSICAS Y DEPORTIVAS,,BASICO
AMBOS SEXOS,Región de Murcia,ADMINISTRACIÓN Y GESTIÓN,70.8,BASICO
AMBOS SEXOS,Región de Murcia,AGRARIA,79.6,BASICO
AMBOS SEXOS,Región de Murcia,ARTES GRÁFICAS,81.7,BASICO
AMBOS SEXOS,Región de Murcia,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,Región de Murcia,COMERCIO Y MARKETING,79.2,BASICO
AMBOS SEXOS,Región de Murcia,EDIFICACIÓN Y OBRA CIVIL,,BASICO
AMBOS SEXOS,Región de Murcia,ELECTRICIDAD Y ELECTRÓNICA,67.5,BASICO
AMBOS SEXOS,Región de Murcia,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Región de Murcia,FABRICACIÓN MECÁNICA,73.0,BASICO
AMBOS SEXOS,Región de Murcia,HOSTELERÍA Y TURISMO,74.9,BASICO
AMBOS SEXOS,Región de Murcia,IMAGEN PERSONAL,78.0,BASICO
AMBOS SEXOS,Región de Murcia,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Región de Murcia,INDUSTRIAS ALIMENTARIAS,75.9,BASICO
AMBOS SEXOS,Región de Murcia,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Región de Murcia,INFORMÁTICA Y COMUNICACIONES,71.9,BASICO
AMBOS SEXOS,Región de Murcia,INSTALACIÓN Y MANTENIMIENTO,65.0,BASICO
AMBOS SEXOS,Región de Murcia,"MADERA, MUEBLE Y CORCHO",59.6,BASICO
AMBOS SEXOS,Región de Murcia,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,Región de Murcia,QUÍMICA,,BASICO
AMBOS SEXOS,Región de Murcia,SANIDAD,,BASICO
AMBOS SEXOS,Región de Murcia,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Región de Murcia,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,,BASICO
AMBOS SEXOS,Región de Murcia,"TEXTIL, CONFECCIÓN Y PIEL",39.8,BASICO
AMBOS SEXOS,Región de Murcia,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,69.2,BASICO
AMBOS SEXOS,Región de Murcia,VIDRIO Y CERÁMICA,,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,ACTIVIDADES FÍSICAS Y DEPORTIVAS,,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,ADMINISTRACIÓN Y GESTIÓN,93.4,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,AGRARIA,74.3,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,ARTES GRÁFICAS,69.1,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,COMERCIO Y MARKETING,74.1,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,EDIFICACIÓN Y OBRA CIVIL,60.2,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,ELECTRICIDAD Y ELECTRÓNICA,80.3,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,FABRICACIÓN MECÁNICA,80.1,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,HOSTELERÍA Y TURISMO,88.2,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,IMAGEN PERSONAL,83.7,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,INDUSTRIAS ALIMENTARIAS,50.5,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,INFORMÁTICA Y COMUNICACIONES,83.0,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,INSTALACIÓN Y MANTENIMIENTO,,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,"MADERA, MUEBLE Y CORCHO",98.7,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,QUÍMICA,,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,SANIDAD,,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,"TEXTIL, CONFECCIÓN Y PIEL",76.8,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,80.6,BASICO
AMBOS SEXOS,Comunidad Foral de Navarra,VIDRIO Y CERÁMICA,,BASICO
AMBOS SEXOS,País Vasco,ACTIVIDADES FÍSICAS Y DEPORTIVAS,,BASICO
AMBOS SEXOS,País Vasco,ADMINISTRACIÓN Y GESTIÓN,96.1,BASICO
AMBOS SEXOS,País Vasco,AGRARIA,88.8,BASICO
AMBOS SEXOS,País Vasco,ARTES GRÁFICAS,95.7,BASICO
AMBOS SEXOS,País Vasco,ARTES Y ARTESANÍAS,,BASICO
AMBOS SEXOS,País Vasco,COMERCIO Y MARKETING,88.4,BASICO
AMBOS SEXOS,País Vasco,EDIFICACIÓN Y OBRA CIVIL,96.7,BASICO
AMBOS SEXOS,País Vasco,ELECTRICIDAD Y ELECTRÓNICA,80.3,BASICO
AMBOS SEXOS,País Vasco,ENERGÍA Y AGUA,,BASICO
AMBOS SEXOS,País Vasco,FABRICACIÓN MECÁNICA,78.0,BASICO
AMBOS SEXOS,País Vasco,HOSTELERÍA Y TURISMO,79.8,BASICO
AMBOS SEXOS,País Vasco,IMAGEN PERSONAL,90.9,BASICO
AMBOS SEXOS,País Vasco,IMAGEN Y SONIDO,,BASICO
AMBOS SEXOS,País Vasco,INDUSTRIAS ALIMENTARIAS,36.4,BASICO
AMBOS SEXOS,País Vasco,INDUSTRIAS EXTRACTIVAS,,BASICO
AMBOS SEXOS,País Vasco,INFORMÁTICA Y COMUNICACIONES,91.7,BASICO
AMBOS SEXOS,País Vasco,INSTALACIÓN Y MANTENIMIENTO,84.7,BASICO
AMBOS SEXOS,País Vasco,"MADERA, MUEBLE Y CORCHO",78.4,BASICO
AMBOS SEXOS,País Vasco,MARÍTIMO-PESQUERA,,BASICO
AMBOS SEXOS,País Vasco,QUÍMICA,,BASICO
AMBOS SEXOS,País Vasco,SANIDAD,,BASICO
AMBOS SEXOS,País Vasco,SEGURIDAD Y MEDIO AMBIENTE,,BASICO
AMBOS SEXOS,País Vasco,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,95.9,BASICO
AMBOS SEXOS,País Vasco,"TEXTIL, CONFECCIÓN Y PIEL",56.0,BASICO
AMBOS SEXOS,País Vasco,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,85.5,BASICO
AMBOS SEXOS,País Vasco,VIDRIO Y CERÁMICA,,BASICO
