Sexo;Comunidad autónoma/provincia;Ciclo formativo (1);Total
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento de viviendas;0
AMBOS SEXOS;01 ANDALUCÍA;18 MADERA, MUEBLE Y CORCHO;76
AMBOS SEXOS;01 ANDALUCÍA;Carpintería y mueble;76
AMBOS SEXOS;01 ANDALUCÍA;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;01 ANDALUCÍA;Actividades marítimo-pesqueras;0
AMBOS SEXOS;01 ANDALUCÍA;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;49
AMBOS SEXOS;01 ANDALUCÍA;Actividades domésticas y limpieza de edificios;49
AMBOS SEXOS;01 ANDALUCÍA;24 TEXTIL, CONFECCIÓN Y PIEL;17
AMBOS SEXOS;01 ANDALUCÍA;Arreglo y reparación de artículos textiles y de piel;5
AMBOS SEXOS;01 ANDALUCÍA;Tapicería y cortinaje;12
AMBOS SEXOS;01 ANDALUCÍA;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;263
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento de embarcaciones deportivas y de recreo;4
AMBOS SEXOS;01 ANDALUCÍA;Mantenimiento de vehículos;259
AMBOS SEXOS;01 ANDALUCÍA;26 VIDRIO Y CERÁMICA;6
AMBOS SEXOS;01 ANDALUCÍA;Vidriería y alfarería;6
AMBOS SEXOS;Almería;00 TOTAL;264
AMBOS SEXOS;Almería;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
AMBOS SEXOS;Almería;Acceso y Conservación en Instalaciones Deportivas;0
AMBOS SEXOS;Almería;02 ADMINISTRACIÓN Y GESTIÓN;57
AMBOS SEXOS;Almería;Servicios administrativos;57
AMBOS SEXOS;Almería;03 AGRARIA;50
AMBOS SEXOS;Almería;Actividades agropecuarias;7
AMBOS SEXOS;Almería;Agro-jardinería y composiciones florales;39
AMBOS SEXOS;Almería;Aprovechamientos forestales;4
AMBOS SEXOS;Almería;04 ARTES GRÁFICAS;0
AMBOS SEXOS;Almería;Artes gráficas;0
AMBOS SEXOS;Almería;06 COMERCIO Y MARKETING;0
AMBOS SEXOS;Almería;Servicios comerciales;0
AMBOS SEXOS;Almería;07 EDIFICACIÓN Y OBRA CIVIL;6
AMBOS SEXOS;Almería;Reforma y mantenimiento de edificios;6
AMBOS SEXOS;Almería;08 ELECTRICIDAD Y ELECTRÓNICA;32
AMBOS SEXOS;Almería;Electricidad y electrónica;32
AMBOS SEXOS;Almería;Instalaciones electrotécnicas y mecánica;0
AMBOS SEXOS;Almería;10 FABRICACIÓN MECÁNICA;16
AMBOS SEXOS;Almería;Fabricación de elementos metálicos;0
AMBOS SEXOS;Almería;Fabricación y montaje;16
AMBOS SEXOS;Almería;11 HOSTELERÍA Y TURISMO;17
AMBOS SEXOS;Almería;Actividades de panadería y pastelería;0
AMBOS SEXOS;Almería;Alojamiento y lavandería;2
AMBOS SEXOS;Almería;Cocina y restauración;15
AMBOS SEXOS;Almería;12 IMAGEN PERSONAL;18
AMBOS SEXOS;Almería;Peluquería y estética;18
AMBOS SEXOS;Almería;14 INDUSTRIAS ALIMENTARIAS;0
AMBOS SEXOS;Almería;Industrias alimentarias;0
AMBOS SEXOS;Almería;16 INFORMÁTICA Y COMUNICACIONES;35
AMBOS SEXOS;Almería;Informática de oficina;10
AMBOS SEXOS;Almería;Informática y comunicaciones;25
AMBOS SEXOS;Almería;17 INSTALACIÓN Y MANTENIMIENTO;0
AMBOS SEXOS;Almería;Mantenimiento de viviendas;0
AMBOS SEXOS;Almería;18 MADERA, MUEBLE Y CORCHO;2
AMBOS SEXOS;Almería;Carpintería y mueble;2
AMBOS SEXOS;Almería;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;Almería;Actividades marítimo-pesqueras;0
AMBOS SEXOS;Almería;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;5
AMBOS SEXOS;Almería;Actividades domésticas y limpieza de edificios;5
AMBOS SEXOS;Almería;24 TEXTIL, CONFECCIÓN Y PIEL;0
AMBOS SEXOS;Almería;Arreglo y reparación de artículos textiles y de piel;0
AMBOS SEXOS;Almería;Tapicería y cortinaje;0
AMBOS SEXOS;Almería;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;26
AMBOS SEXOS;Almería;Mantenimiento de embarcaciones deportivas y de recreo;4
AMBOS SEXOS;Almería;Mantenimiento de vehículos;22
AMBOS SEXOS;Almería;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Almería;Vidriería y alfarería;0
AMBOS SEXOS;Cádiz;00 TOTAL;620
AMBOS SEXOS;Cádiz;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
AMBOS SEXOS;Cádiz;Acceso y Conservación en Instalaciones Deportivas;0
AMBOS SEXOS;Cádiz;02 ADMINISTRACIÓN Y GESTIÓN;189
AMBOS SEXOS;Cádiz;Servicios administrativos;189
AMBOS SEXOS;Cádiz;03 AGRARIA;50
AMBOS SEXOS;Cádiz;Actividades agropecuarias;0
AMBOS SEXOS;Cádiz;Agro-jardinería y composiciones florales;47
AMBOS SEXOS;Cádiz;Aprovechamientos forestales;3
AMBOS SEXOS;Cádiz;04 ARTES GRÁFICAS;0
AMBOS SEXOS;Cádiz;Artes gráficas;0
AMBOS SEXOS;Cádiz;06 COMERCIO Y MARKETING;13
AMBOS SEXOS;Cádiz;Servicios comerciales;13
AMBOS SEXOS;Cádiz;07 EDIFICACIÓN Y OBRA CIVIL;16
AMBOS SEXOS;Cádiz;Reforma y mantenimiento de edificios;16
AMBOS SEXOS;Cádiz;08 ELECTRICIDAD Y ELECTRÓNICA;63
AMBOS SEXOS;Cádiz;Electricidad y electrónica;63
AMBOS SEXOS;Cádiz;Instalaciones electrotécnicas y mecánica;0
AMBOS SEXOS;Cádiz;10 FABRICACIÓN MECÁNICA;55
AMBOS SEXOS;Cádiz;Fabricación de elementos metálicos;0
AMBOS SEXOS;Cádiz;Fabricación y montaje;55
AMBOS SEXOS;Cádiz;11 HOSTELERÍA Y TURISMO;51
AMBOS SEXOS;Cádiz;Actividades de panadería y pastelería;0
AMBOS SEXOS;Cádiz;Alojamiento y lavandería;10
AMBOS SEXOS;Cádiz;Cocina y restauración;41
AMBOS SEXOS;Cádiz;12 IMAGEN PERSONAL;20
AMBOS SEXOS;Cádiz;Peluquería y estética;20
