Sexo;Comunidad autónoma/provincia;Ciclo formativo (1);Total
AMBOS SEXOS;Zamora;Cocina y restauración;7
AMBOS SEXOS;Zamora;12 IMAGEN PERSONAL;4
AMBOS SEXOS;Zamora;Peluquería y estética;4
AMBOS SEXOS;Zamora;14 INDUSTRIAS ALIMENTARIAS;0
AMBOS SEXOS;Zamora;Industrias alimentarias;0
AMBOS SEXOS;Zamora;16 INFORMÁTICA Y COMUNICACIONES;2
AMBOS SEXOS;Zamora;Informática de oficina;0
AMBOS SEXOS;Zamora;Informática y comunicaciones;2
AMBOS SEXOS;Zamora;17 INSTALACIÓN Y MANTENIMIENTO;0
AMBOS SEXOS;Zamora;Mantenimiento de viviendas;0
AMBOS SEXOS;Zamora;18 MADERA, MUEBLE Y CORCHO;2
AMBOS SEXOS;Zamora;Carpintería y mueble;2
AMBOS SEXOS;Zamora;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;Zamora;Actividades marítimo-pesqueras;0
AMBOS SEXOS;Zamora;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;0
AMBOS SEXOS;Zamora;Actividades domésticas y limpieza de edificios;0
AMBOS SEXOS;Zamora;24 TEXTIL, CONFECCIÓN Y PIEL;0
AMBOS SEXOS;Zamora;Arreglo y reparación de artículos textiles y de piel;0
AMBOS SEXOS;Zamora;Tapicería y cortinaje;0
AMBOS SEXOS;Zamora;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;6
AMBOS SEXOS;Zamora;Mantenimiento de embarcaciones deportivas y de recreo;0
AMBOS SEXOS;Zamora;Mantenimiento de vehículos;6
AMBOS SEXOS;Zamora;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Zamora;Vidriería y alfarería;0
AMBOS SEXOS;08 CASTILLA-LA MANCHA;00 TOTAL;1.352
AMBOS SEXOS;08 CASTILLA-LA MANCHA;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;18
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Acceso y Conservación en Instalaciones Deportivas;18
AMBOS SEXOS;08 CASTILLA-LA MANCHA;02 ADMINISTRACIÓN Y GESTIÓN;229
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Servicios administrativos;229
AMBOS SEXOS;08 CASTILLA-LA MANCHA;03 AGRARIA;59
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Actividades agropecuarias;0
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Agro-jardinería y composiciones florales;32
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Aprovechamientos forestales;27
AMBOS SEXOS;08 CASTILLA-LA MANCHA;04 ARTES GRÁFICAS;8
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Artes gráficas;8
AMBOS SEXOS;08 CASTILLA-LA MANCHA;06 COMERCIO Y MARKETING;82
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Servicios comerciales;82
AMBOS SEXOS;08 CASTILLA-LA MANCHA;07 EDIFICACIÓN Y OBRA CIVIL;0
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Reforma y mantenimiento de edificios;0
AMBOS SEXOS;08 CASTILLA-LA MANCHA;08 ELECTRICIDAD Y ELECTRÓNICA;211
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Electricidad y electrónica;211
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Instalaciones electrotécnicas y mecánica;0
AMBOS SEXOS;08 CASTILLA-LA MANCHA;10 FABRICACIÓN MECÁNICA;53
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Fabricación de elementos metálicos;6
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Fabricación y montaje;47
AMBOS SEXOS;08 CASTILLA-LA MANCHA;11 HOSTELERÍA Y TURISMO;110
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Actividades de panadería y pastelería;4
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Alojamiento y lavandería;2
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Cocina y restauración;104
AMBOS SEXOS;08 CASTILLA-LA MANCHA;12 IMAGEN PERSONAL;99
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Peluquería y estética;99
AMBOS SEXOS;08 CASTILLA-LA MANCHA;14 INDUSTRIAS ALIMENTARIAS;9
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Industrias alimentarias;9
AMBOS SEXOS;08 CASTILLA-LA MANCHA;16 INFORMÁTICA Y COMUNICACIONES;368
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Informática de oficina;200
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Informática y comunicaciones;168
AMBOS SEXOS;08 CASTILLA-LA MANCHA;17 INSTALACIÓN Y MANTENIMIENTO;0
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Mantenimiento de viviendas;0
AMBOS SEXOS;08 CASTILLA-LA MANCHA;18 MADERA, MUEBLE Y CORCHO;9
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Carpintería y mueble;9
AMBOS SEXOS;08 CASTILLA-LA MANCHA;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Actividades marítimo-pesqueras;0
AMBOS SEXOS;08 CASTILLA-LA MANCHA;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;0
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Actividades domésticas y limpieza de edificios;0
AMBOS SEXOS;08 CASTILLA-LA MANCHA;24 TEXTIL, CONFECCIÓN Y PIEL;4
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Arreglo y reparación de artículos textiles y de piel;4
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Tapicería y cortinaje;0
AMBOS SEXOS;08 CASTILLA-LA MANCHA;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;93
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Mantenimiento de embarcaciones deportivas y de recreo;0
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Mantenimiento de vehículos;93
AMBOS SEXOS;08 CASTILLA-LA MANCHA;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;08 CASTILLA-LA MANCHA;Vidriería y alfarería;0
AMBOS SEXOS;Albacete;00 TOTAL;238
AMBOS SEXOS;Albacete;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
AMBOS SEXOS;Albacete;Acceso y Conservación en Instalaciones Deportivas;0
AMBOS SEXOS;Albacete;02 ADMINISTRACIÓN Y GESTIÓN;58
AMBOS SEXOS;Albacete;Servicios administrativos;58
AMBOS SEXOS;Albacete;03 AGRARIA;5
AMBOS SEXOS;Albacete;Actividades agropecuarias;0
AMBOS SEXOS;Albacete;Agro-jardinería y composiciones florales;0
AMBOS SEXOS;Albacete;Aprovechamientos forestales;5
AMBOS SEXOS;Albacete;04 ARTES GRÁFICAS;0
AMBOS SEXOS;Albacete;Artes gráficas;0
AMBOS SEXOS;Albacete;06 COMERCIO Y MARKETING;6
AMBOS SEXOS;Albacete;Servicios comerciales;6
AMBOS SEXOS;Albacete;07 EDIFICACIÓN Y OBRA CIVIL;0
AMBOS SEXOS;Albacete;Reforma y mantenimiento de edificios;0
AMBOS SEXOS;Albacete;08 ELECTRICIDAD Y ELECTRÓNICA;52
AMBOS SEXOS;Albacete;Electricidad y electrónica;52
AMBOS SEXOS;Albacete;Instalaciones electrotécnicas y mecánica;0
AMBOS SEXOS;Albacete;10 FABRICACIÓN MECÁNICA;17
AMBOS SEXOS;Albacete;Fabricación de elementos metálicos;0
AMBOS SEXOS;Albacete;Fabricación y montaje;17
AMBOS SEXOS;Albacete;11 HOSTELERÍA Y TURISMO;4
AMBOS SEXOS;Albacete;Actividades de panadería y pastelería;0
AMBOS SEXOS;Albacete;Alojamiento y lavandería;0
AMBOS SEXOS;Albacete;Cocina y restauración;4
AMBOS SEXOS;Albacete;12 IMAGEN PERSONAL;11
AMBOS SEXOS;Albacete;Peluquería y estética;11
AMBOS SEXOS;Albacete;14 INDUSTRIAS ALIMENTARIAS;9
AMBOS SEXOS;Albacete;Industrias alimentarias;9
AMBOS SEXOS;Albacete;16 INFORMÁTICA Y COMUNICACIONES;53
AMBOS SEXOS;Albacete;Informática de oficina;53
AMBOS SEXOS;Albacete;Informática y comunicaciones;0
AMBOS SEXOS;Albacete;17 INSTALACIÓN Y MANTENIMIENTO;0
AMBOS SEXOS;Albacete;Mantenimiento de viviendas;0
AMBOS SEXOS;Albacete;18 MADERA, MUEBLE Y CORCHO;2
AMBOS SEXOS;Albacete;Carpintería y mueble;2
AMBOS SEXOS;Albacete;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;Albacete;Actividades marítimo-pesqueras;0
AMBOS SEXOS;Albacete;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;0
AMBOS SEXOS;Albacete;Actividades domésticas y limpieza de edificios;0
AMBOS SEXOS;Albacete;24 TEXTIL, CONFECCIÓN Y PIEL;4
AMBOS SEXOS;Albacete;Arreglo y reparación de artículos textiles y de piel;4
AMBOS SEXOS;Albacete;Tapicería y cortinaje;0
AMBOS SEXOS;Albacete;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;17
AMBOS SEXOS;Albacete;Mantenimiento de embarcaciones deportivas y de recreo;0
AMBOS SEXOS;Albacete;Mantenimiento de vehículos;17
AMBOS SEXOS;Albacete;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Albacete;Vidriería y alfarería;0
AMBOS SEXOS;Ciudad Real;00 TOTAL;296
AMBOS SEXOS;Ciudad Real;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
AMBOS SEXOS;Ciudad Real;Acceso y Conservación en Instalaciones Deportivas;0
AMBOS SEXOS;Ciudad Real;02 ADMINISTRACIÓN Y GESTIÓN;32
AMBOS SEXOS;Ciudad Real;Servicios administrativos;32
AMBOS SEXOS;Ciudad Real;03 AGRARIA;17
AMBOS SEXOS;Ciudad Real;Actividades agropecuarias;0
AMBOS SEXOS;Ciudad Real;Agro-jardinería y composiciones florales;17
AMBOS SEXOS;Ciudad Real;Aprovechamientos forestales;0
AMBOS SEXOS;Ciudad Real;04 ARTES GRÁFICAS;0
AMBOS SEXOS;Ciudad Real;Artes gráficas;0
AMBOS SEXOS;Ciudad Real;06 COMERCIO Y MARKETING;10
AMBOS SEXOS;Ciudad Real;Servicios comerciales;10
AMBOS SEXOS;Ciudad Real;07 EDIFICACIÓN Y OBRA CIVIL;0
AMBOS SEXOS;Ciudad Real;Reforma y mantenimiento de edificios;0
AMBOS SEXOS;Ciudad Real;08 ELECTRICIDAD Y ELECTRÓNICA;64
AMBOS SEXOS;Ciudad Real;Electricidad y electrónica;64
AMBOS SEXOS;Ciudad Real;Instalaciones electrotécnicas y mecánica;0
AMBOS SEXOS;Ciudad Real;10 FABRICACIÓN MECÁNICA;7
AMBOS SEXOS;Ciudad Real;Fabricación de elementos metálicos;0
AMBOS SEXOS;Ciudad Real;Fabricación y montaje;7
AMBOS SEXOS;Ciudad Real;11 HOSTELERÍA Y TURISMO;30
AMBOS SEXOS;Ciudad Real;Actividades de panadería y pastelería;0
AMBOS SEXOS;Ciudad Real;Alojamiento y lavandería;0
AMBOS SEXOS;Ciudad Real;Cocina y restauración;30
AMBOS SEXOS;Ciudad Real;12 IMAGEN PERSONAL;27
AMBOS SEXOS;Ciudad Real;Peluquería y estética;27
AMBOS SEXOS;Ciudad Real;14 INDUSTRIAS ALIMENTARIAS;0
AMBOS SEXOS;Ciudad Real;Industrias alimentarias;0
AMBOS SEXOS;Ciudad Real;16 INFORMÁTICA Y COMUNICACIONES;72
AMBOS SEXOS;Ciudad Real;Informática de oficina;22
AMBOS SEXOS;Ciudad Real;Informática y comunicaciones;50
AMBOS SEXOS;Ciudad Real;17 INSTALACIÓN Y MANTENIMIENTO;0
AMBOS SEXOS;Ciudad Real;Mantenimiento de viviendas;0
AMBOS SEXOS;Ciudad Real;18 MADERA, MUEBLE Y CORCHO;4
AMBOS SEXOS;Ciudad Real;Carpintería y mueble;4
AMBOS SEXOS;Ciudad Real;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;Ciudad Real;Actividades marítimo-pesqueras;0
AMBOS SEXOS;Ciudad Real;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;0
AMBOS SEXOS;Ciudad Real;Actividades domésticas y limpieza de edificios;0
AMBOS SEXOS;Ciudad Real;24 TEXTIL, CONFECCIÓN Y PIEL;0
AMBOS SEXOS;Ciudad Real;Arreglo y reparación de artículos textiles y de piel;0
AMBOS SEXOS;Ciudad Real;Tapicería y cortinaje;0
AMBOS SEXOS;Ciudad Real;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;33
AMBOS SEXOS;Ciudad Real;Mantenimiento de embarcaciones deportivas y de recreo;0
AMBOS SEXOS;Ciudad Real;Mantenimiento de vehículos;33
AMBOS SEXOS;Ciudad Real;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Ciudad Real;Vidriería y alfarería;0
AMBOS SEXOS;Cuenca;00 TOTAL;97
AMBOS SEXOS;Cuenca;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;0
AMBOS SEXOS;Cuenca;Acceso y Conservación en Instalaciones Deportivas;0
AMBOS SEXOS;Cuenca;02 ADMINISTRACIÓN Y GESTIÓN;1
AMBOS SEXOS;Cuenca;Servicios administrativos;1
AMBOS SEXOS;Cuenca;03 AGRARIA;0
AMBOS SEXOS;Cuenca;Actividades agropecuarias;0
AMBOS SEXOS;Cuenca;Agro-jardinería y composiciones florales;0
AMBOS SEXOS;Cuenca;Aprovechamientos forestales;0
AMBOS SEXOS;Cuenca;04 ARTES GRÁFICAS;0
AMBOS SEXOS;Cuenca;Artes gráficas;0
AMBOS SEXOS;Cuenca;06 COMERCIO Y MARKETING;23
AMBOS SEXOS;Cuenca;Servicios comerciales;23
AMBOS SEXOS;Cuenca;07 EDIFICACIÓN Y OBRA CIVIL;0
AMBOS SEXOS;Cuenca;Reforma y mantenimiento de edificios;0
AMBOS SEXOS;Cuenca;08 ELECTRICIDAD Y ELECTRÓNICA;7
AMBOS SEXOS;Cuenca;Electricidad y electrónica;7
AMBOS SEXOS;Cuenca;Instalaciones electrotécnicas y mecánica;0
AMBOS SEXOS;Cuenca;10 FABRICACIÓN MECÁNICA;0
AMBOS SEXOS;Cuenca;Fabricación de elementos metálicos;0
AMBOS SEXOS;Cuenca;Fabricación y montaje;0
AMBOS SEXOS;Cuenca;11 HOSTELERÍA Y TURISMO;9
AMBOS SEXOS;Cuenca;Actividades de panadería y pastelería;0
AMBOS SEXOS;Cuenca;Alojamiento y lavandería;0
AMBOS SEXOS;Cuenca;Cocina y restauración;9
AMBOS SEXOS;Cuenca;12 IMAGEN PERSONAL;5
AMBOS SEXOS;Cuenca;Peluquería y estética;5
AMBOS SEXOS;Cuenca;14 INDUSTRIAS ALIMENTARIAS;0
AMBOS SEXOS;Cuenca;Industrias alimentarias;0
AMBOS SEXOS;Cuenca;16 INFORMÁTICA Y COMUNICACIONES;33
AMBOS SEXOS;Cuenca;Informática de oficina;33
AMBOS SEXOS;Cuenca;Informática y comunicaciones;0
AMBOS SEXOS;Cuenca;17 INSTALACIÓN Y MANTENIMIENTO;0
AMBOS SEXOS;Cuenca;Mantenimiento de viviendas;0
AMBOS SEXOS;Cuenca;18 MADERA, MUEBLE Y CORCHO;3
AMBOS SEXOS;Cuenca;Carpintería y mueble;3
AMBOS SEXOS;Cuenca;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;Cuenca;Actividades marítimo-pesqueras;0
AMBOS SEXOS;Cuenca;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;0
AMBOS SEXOS;Cuenca;Actividades domésticas y limpieza de edificios;0
AMBOS SEXOS;Cuenca;24 TEXTIL, CONFECCIÓN Y PIEL;0
AMBOS SEXOS;Cuenca;Arreglo y reparación de artículos textiles y de piel;0
AMBOS SEXOS;Cuenca;Tapicería y cortinaje;0
AMBOS SEXOS;Cuenca;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;16
AMBOS SEXOS;Cuenca;Mantenimiento de embarcaciones deportivas y de recreo;0
AMBOS SEXOS;Cuenca;Mantenimiento de vehículos;16
AMBOS SEXOS;Cuenca;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Cuenca;Vidriería y alfarería;0
AMBOS SEXOS;Guadalajara;00 TOTAL;168
AMBOS SEXOS;Guadalajara;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;9
AMBOS SEXOS;Guadalajara;Acceso y Conservación en Instalaciones Deportivas;9
AMBOS SEXOS;Guadalajara;02 ADMINISTRACIÓN Y GESTIÓN;46
AMBOS SEXOS;Guadalajara;Servicios administrativos;46
AMBOS SEXOS;Guadalajara;03 AGRARIA;9
AMBOS SEXOS;Guadalajara;Actividades agropecuarias;0
AMBOS SEXOS;Guadalajara;Agro-jardinería y composiciones florales;9
AMBOS SEXOS;Guadalajara;Aprovechamientos forestales;0
AMBOS SEXOS;Guadalajara;04 ARTES GRÁFICAS;8
AMBOS SEXOS;Guadalajara;Artes gráficas;8
AMBOS SEXOS;Guadalajara;06 COMERCIO Y MARKETING;5
AMBOS SEXOS;Guadalajara;Servicios comerciales;5
AMBOS SEXOS;Guadalajara;07 EDIFICACIÓN Y OBRA CIVIL;0
AMBOS SEXOS;Guadalajara;Reforma y mantenimiento de edificios;0
AMBOS SEXOS;Guadalajara;08 ELECTRICIDAD Y ELECTRÓNICA;18
AMBOS SEXOS;Guadalajara;Electricidad y electrónica;18
AMBOS SEXOS;Guadalajara;Instalaciones electrotécnicas y mecánica;0
AMBOS SEXOS;Guadalajara;10 FABRICACIÓN MECÁNICA;6
AMBOS SEXOS;Guadalajara;Fabricación de elementos metálicos;6
AMBOS SEXOS;Guadalajara;Fabricación y montaje;0
AMBOS SEXOS;Guadalajara;11 HOSTELERÍA Y TURISMO;12
AMBOS SEXOS;Guadalajara;Actividades de panadería y pastelería;4
AMBOS SEXOS;Guadalajara;Alojamiento y lavandería;0
AMBOS SEXOS;Guadalajara;Cocina y restauración;8
AMBOS SEXOS;Guadalajara;12 IMAGEN PERSONAL;9
AMBOS SEXOS;Guadalajara;Peluquería y estética;9
AMBOS SEXOS;Guadalajara;14 INDUSTRIAS ALIMENTARIAS;0
AMBOS SEXOS;Guadalajara;Industrias alimentarias;0
AMBOS SEXOS;Guadalajara;16 INFORMÁTICA Y COMUNICACIONES;39
AMBOS SEXOS;Guadalajara;Informática de oficina;10
AMBOS SEXOS;Guadalajara;Informática y comunicaciones;29
AMBOS SEXOS;Guadalajara;17 INSTALACIÓN Y MANTENIMIENTO;0
AMBOS SEXOS;Guadalajara;Mantenimiento de viviendas;0
AMBOS SEXOS;Guadalajara;18 MADERA, MUEBLE Y CORCHO;0
AMBOS SEXOS;Guadalajara;Carpintería y mueble;0
AMBOS SEXOS;Guadalajara;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;Guadalajara;Actividades marítimo-pesqueras;0
AMBOS SEXOS;Guadalajara;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;0
AMBOS SEXOS;Guadalajara;Actividades domésticas y limpieza de edificios;0
AMBOS SEXOS;Guadalajara;24 TEXTIL, CONFECCIÓN Y PIEL;0
AMBOS SEXOS;Guadalajara;Arreglo y reparación de artículos textiles y de piel;0
AMBOS SEXOS;Guadalajara;Tapicería y cortinaje;0
AMBOS SEXOS;Guadalajara;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;7
AMBOS SEXOS;Guadalajara;Mantenimiento de embarcaciones deportivas y de recreo;0
AMBOS SEXOS;Guadalajara;Mantenimiento de vehículos;7
AMBOS SEXOS;Guadalajara;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Guadalajara;Vidriería y alfarería;0
AMBOS SEXOS;Toledo;00 TOTAL;553
AMBOS SEXOS;Toledo;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;9
AMBOS SEXOS;Toledo;Acceso y Conservación en Instalaciones Deportivas;9
AMBOS SEXOS;Toledo;02 ADMINISTRACIÓN Y GESTIÓN;92
AMBOS SEXOS;Toledo;Servicios administrativos;92
AMBOS SEXOS;Toledo;03 AGRARIA;28
AMBOS SEXOS;Toledo;Actividades agropecuarias;0
AMBOS SEXOS;Toledo;Agro-jardinería y composiciones florales;6
AMBOS SEXOS;Toledo;Aprovechamientos forestales;22
AMBOS SEXOS;Toledo;04 ARTES GRÁFICAS;0
AMBOS SEXOS;Toledo;Artes gráficas;0
AMBOS SEXOS;Toledo;06 COMERCIO Y MARKETING;38
AMBOS SEXOS;Toledo;Servicios comerciales;38
AMBOS SEXOS;Toledo;07 EDIFICACIÓN Y OBRA CIVIL;0
AMBOS SEXOS;Toledo;Reforma y mantenimiento de edificios;0
AMBOS SEXOS;Toledo;08 ELECTRICIDAD Y ELECTRÓNICA;70
AMBOS SEXOS;Toledo;Electricidad y electrónica;70
AMBOS SEXOS;Toledo;Instalaciones electrotécnicas y mecánica;0
AMBOS SEXOS;Toledo;10 FABRICACIÓN MECÁNICA;23
AMBOS SEXOS;Toledo;Fabricación de elementos metálicos;0
AMBOS SEXOS;Toledo;Fabricación y montaje;23
AMBOS SEXOS;Toledo;11 HOSTELERÍA Y TURISMO;55
AMBOS SEXOS;Toledo;Actividades de panadería y pastelería;0
AMBOS SEXOS;Toledo;Alojamiento y lavandería;2
AMBOS SEXOS;Toledo;Cocina y restauración;53
AMBOS SEXOS;Toledo;12 IMAGEN PERSONAL;47
AMBOS SEXOS;Toledo;Peluquería y estética;47
AMBOS SEXOS;Toledo;14 INDUSTRIAS ALIMENTARIAS;0
AMBOS SEXOS;Toledo;Industrias alimentarias;0
AMBOS SEXOS;Toledo;16 INFORMÁTICA Y COMUNICACIONES;171
AMBOS SEXOS;Toledo;Informática de oficina;82
AMBOS SEXOS;Toledo;Informática y comunicaciones;89
AMBOS SEXOS;Toledo;17 INSTALACIÓN Y MANTENIMIENTO;0
AMBOS SEXOS;Toledo;Mantenimiento de viviendas;0
AMBOS SEXOS;Toledo;18 MADERA, MUEBLE Y CORCHO;0
AMBOS SEXOS;Toledo;Carpintería y mueble;0
AMBOS SEXOS;Toledo;19 MARÍTIMO-PESQUERA;0
AMBOS SEXOS;Toledo;Actividades marítimo-pesqueras;0
AMBOS SEXOS;Toledo;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;0
AMBOS SEXOS;Toledo;Actividades domésticas y limpieza de edificios;0
AMBOS SEXOS;Toledo;24 TEXTIL, CONFECCIÓN Y PIEL;0
AMBOS SEXOS;Toledo;Arreglo y reparación de artículos textiles y de piel;0
AMBOS SEXOS;Toledo;Tapicería y cortinaje;0
AMBOS SEXOS;Toledo;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;20
AMBOS SEXOS;Toledo;Mantenimiento de embarcaciones deportivas y de recreo;0
AMBOS SEXOS;Toledo;Mantenimiento de vehículos;20
AMBOS SEXOS;Toledo;26 VIDRIO Y CERÁMICA;0
AMBOS SEXOS;Toledo;Vidriería y alfarería;0
AMBOS SEXOS;09 CATALUÑA;00 TOTAL;.
AMBOS SEXOS;09 CATALUÑA;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
AMBOS SEXOS;09 CATALUÑA;Acceso y Conservación en Instalaciones Deportivas;.
AMBOS SEXOS;09 CATALUÑA;02 ADMINISTRACIÓN Y GESTIÓN;.
AMBOS SEXOS;09 CATALUÑA;Servicios administrativos;.
AMBOS SEXOS;09 CATALUÑA;03 AGRARIA;.
AMBOS SEXOS;09 CATALUÑA;Actividades agropecuarias;.
AMBOS SEXOS;09 CATALUÑA;Agro-jardinería y composiciones florales;.
AMBOS SEXOS;09 CATALUÑA;Aprovechamientos forestales;.
AMBOS SEXOS;09 CATALUÑA;04 ARTES GRÁFICAS;.
AMBOS SEXOS;09 CATALUÑA;Artes gráficas;.
AMBOS SEXOS;09 CATALUÑA;06 COMERCIO Y MARKETING;.
AMBOS SEXOS;09 CATALUÑA;Servicios comerciales;.
AMBOS SEXOS;09 CATALUÑA;07 EDIFICACIÓN Y OBRA CIVIL;.
AMBOS SEXOS;09 CATALUÑA;Reforma y mantenimiento de edificios;.
AMBOS SEXOS;09 CATALUÑA;08 ELECTRICIDAD Y ELECTRÓNICA;.
AMBOS SEXOS;09 CATALUÑA;Electricidad y electrónica;.
AMBOS SEXOS;09 CATALUÑA;Instalaciones electrotécnicas y mecánica;.
AMBOS SEXOS;09 CATALUÑA;10 FABRICACIÓN MECÁNICA;.
AMBOS SEXOS;09 CATALUÑA;Fabricación de elementos metálicos;.
AMBOS SEXOS;09 CATALUÑA;Fabricación y montaje;.
AMBOS SEXOS;09 CATALUÑA;11 HOSTELERÍA Y TURISMO;.
AMBOS SEXOS;09 CATALUÑA;Actividades de panadería y pastelería;.
AMBOS SEXOS;09 CATALUÑA;Alojamiento y lavandería;.
AMBOS SEXOS;09 CATALUÑA;Cocina y restauración;.
AMBOS SEXOS;09 CATALUÑA;12 IMAGEN PERSONAL;.
AMBOS SEXOS;09 CATALUÑA;Peluquería y estética;.
AMBOS SEXOS;09 CATALUÑA;14 INDUSTRIAS ALIMENTARIAS;.
AMBOS SEXOS;09 CATALUÑA;Industrias alimentarias;.
AMBOS SEXOS;09 CATALUÑA;16 INFORMÁTICA Y COMUNICACIONES;.
AMBOS SEXOS;09 CATALUÑA;Informática de oficina;.
AMBOS SEXOS;09 CATALUÑA;Informática y comunicaciones;.
AMBOS SEXOS;09 CATALUÑA;17 INSTALACIÓN Y MANTENIMIENTO;.
AMBOS SEXOS;09 CATALUÑA;Mantenimiento de viviendas;.
AMBOS SEXOS;09 CATALUÑA;18 MADERA, MUEBLE Y CORCHO;.
AMBOS SEXOS;09 CATALUÑA;Carpintería y mueble;.
AMBOS SEXOS;09 CATALUÑA;19 MARÍTIMO-PESQUERA;.
AMBOS SEXOS;09 CATALUÑA;Actividades marítimo-pesqueras;.
AMBOS SEXOS;09 CATALUÑA;23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
AMBOS SEXOS;09 CATALUÑA;Actividades domésticas y limpieza de edificios;.
AMBOS SEXOS;09 CATALUÑA;24 TEXTIL, CONFECCIÓN Y PIEL;.
AMBOS SEXOS;09 CATALUÑA;Arreglo y reparación de artículos textiles y de piel;.
AMBOS SEXOS;09 CATALUÑA;Tapicería y cortinaje;.
AMBOS SEXOS;09 CATALUÑA;25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;.
AMBOS SEXOS;09 CATALUÑA;Mantenimiento de embarcaciones deportivas y de recreo;.
AMBOS SEXOS;09 CATALUÑA;Mantenimiento de vehículos;.
AMBOS SEXOS;09 CATALUÑA;26 VIDRIO Y CERÁMICA;.
AMBOS SEXOS;09 CATALUÑA;Vidriería y alfarería;.
AMBOS SEXOS;Barcelona;00 TOTAL;.
AMBOS SEXOS;Barcelona;01 ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
AMBOS SEXOS;Barcelona;Acceso y Conservación en Instalaciones Deportivas;.
AMBOS SEXOS;Barcelona;02 ADMINISTRACIÓN Y GESTIÓN;.
AMBOS SEXOS;Barcelona;Servicios administrativos;.
AMBOS SEXOS;Barcelona;03 AGRARIA;.
AMBOS SEXOS;Barcelona;Actividades agropecuarias;.
AMBOS SEXOS;Barcelona;Agro-jardinería y composiciones florales;.
AMBOS SEXOS;Barcelona;Aprovechamientos forestales;.
AMBOS SEXOS;Barcelona;04 ARTES GRÁFICAS;.
AMBOS SEXOS;Barcelona;Artes gráficas;.
AMBOS SEXOS;Barcelona;06 COMERCIO Y MARKETING;.
