Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo
AMBOS SEXOS,01 ANDALUCÍA,Vitivinicultura,249.0,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,16 INFORMÁTICA Y COMUNICACIONES,14.698,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Administración de sistemas informáticos en red,4.97,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Desarrollo de aplicaciones multiplataforma,5.443,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Desarrollo de aplicaciones web,4.27,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Informatica y comunicaciones sin distribuir (para centros extranjeros),15.0,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,17 INSTALACIÓN Y MANTENIMIENTO,3.214,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Desarrollo de proyectos de instalaciones térmicas y de fluidos,44.0,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Mantenimiento de instalaciones térmicas y de fluidos,495.0,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Mecatrónica industrial,2.675,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,"18 MADERA, MUEBLE Y CORCHO",259.0,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Diseño y amueblamiento,259.0,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,19 MARÍTIMO-PESQUERA,707.0,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Acuicultura,90.0,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Organización del mantenimiento de maquinaria de buques y embarcaciones,284.0,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Transporte marítimo y pesca de altura,333.0,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,20 QUÍMICA,2.302,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Fabricación de Productos Farmaceuticos,333.0,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Laboratorio de análisis y de control de calidad,1.501,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Química industrial,468.0,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,21 SANIDAD,21.912,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Anatomía patológica y citodiagnostico,2.716,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Audiología protésica,483.0,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Dietética (LOGSE),2.281,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Documentación y administración sanitaria,1.342,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Higiene bucodental,3.815,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Imagen para el diagnóstico y medicina nuclear,4.248,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Laboratorio clinico y biomédico,4.618,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Ortoprótesis y productos de apoyo,129.0,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Prótesis dentales,1.308,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Radioterampia y dosimetría,972.0,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,22 SEGURIDAD Y MEDIO AMBIENTE,2.03,SUPERIOR
AMBOS SEXOS,01 ANDALUCÍA,Coordinación de emergencias y protección civil,307.0,SUPERIOR
AMBOS SEXOS,Almería,Educación y control ambiental,307.0,SUPERIOR
AMBOS SEXOS,Almería,Prevención de riesgos profesionales (LOGSE),730.0,SUPERIOR
AMBOS SEXOS,Almería,Química y salud ambiental,686.0,SUPERIOR
AMBOS SEXOS,Almería,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,20.546,SUPERIOR
AMBOS SEXOS,Almería,Animación sociocultural y turística,1.208,SUPERIOR
AMBOS SEXOS,Almería,Educación infantil,11.156,SUPERIOR
AMBOS SEXOS,Almería,Integración social,7.02,SUPERIOR
AMBOS SEXOS,Almería,Mediación comunicativa,681.0,SUPERIOR
AMBOS SEXOS,Almería,Promoción de igualdad de género,481.0,SUPERIOR
AMBOS SEXOS,Almería,"24 TEXTIL, CONFECCIÓN Y PIEL",606.0,SUPERIOR
AMBOS SEXOS,Almería,Diseño y producción de calzado y complementos,19.0,SUPERIOR
AMBOS SEXOS,Almería,Patronaje y moda,466.0,SUPERIOR
AMBOS SEXOS,Almería,Vestuario a medida y de espectáculos,116.0,SUPERIOR
AMBOS SEXOS,Almería,Diseño Técnico en Textil y Piel,5.0,SUPERIOR
AMBOS SEXOS,Almería,25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,4.324,SUPERIOR
AMBOS SEXOS,Almería,Automoción,3.658,SUPERIOR
AMBOS SEXOS,Almería,Mantenimiento Aeromecánico de Aviones con Motor de Turbina,455.0,SUPERIOR
AMBOS SEXOS,Almería,Mantenimiento de Sistemas Electrónicos y Aviónicos en Aeronaves,182.0,SUPERIOR
AMBOS SEXOS,Almería,Mantenimiento Aeromecánico de Helicópteros con Motor de Pistón,6.0,SUPERIOR
AMBOS SEXOS,Almería,Mantenimiento Aeromecánico de Helicópteros con Motor de Turbina,23.0,SUPERIOR
AMBOS SEXOS,Almería,26 VIDRIO Y CERÁMICA,20.0,SUPERIOR
AMBOS SEXOS,Almería,Desarrollo y fabricación de productos cerámicos,20.0,SUPERIOR
AMBOS SEXOS,Almería,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,2.702,SUPERIOR
AMBOS SEXOS,Almería,Enseñanza y animación sociodeportiva,1.929,SUPERIOR
AMBOS SEXOS,Almería,Acondicionamiento físico,773.0,SUPERIOR
