Porcentaje_Real,Porcentaje_Predicho,Error,Error_Absoluto,Error_Porcentual,Comunidad_Autonoma,Familia_Profesional,Nivel_Educativo,Sexo
86.3,79.87897272304023,6.421027276959762,6.421027276959762,7.440356056732054,Principado de Asturias,HOSTELERÍA Y TURISMO,SUPERIOR,Hombres
74.2,81.99367246654792,-7.793672466547918,7.793672466547918,10.503601706937895,Principado de Asturias,IMAGEN PERSONAL,SUPERIOR,Hombres
86.6,74.09070485485368,12.50929514514631,12.50929514514631,14.444913562524608,Principado de Asturias,IMAGEN Y SONIDO,SUPERIOR,Hombres
74.7,73.76375879809862,0.9362412019013817,0.9362412019013817,1.2533349423043931,Principado de Asturias,INDUSTRIAS ALIMENTARIAS,SUPERIOR,Hombres
62.7,72.60578485086191,-9.905784850861906,9.905784850861906,15.798699921629833,Principado de Asturias,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,Hombres
67.0,70.49633217215428,-3.4963321721542826,3.4963321721542826,5.218406227095944,Principado de Asturias,INSTALACIÓN Y MANTENIMIENTO,SUPERIOR,Hombres
0.0,71.84186451974207,-71.84186451974207,71.84186451974207,inf,Principado de Asturias,MARÍTIMO-PESQUERA,SUPERIOR,Hombres
86.6,79.67452496925442,6.925475030745574,6.925475030745574,7.997084331114982,Principado de Asturias,QUÍMICA,SUPERIOR,Hombres
64.2,90.34704796767214,-26.147047967672137,26.147047967672137,40.72748904621828,Principado de Asturias,SANIDAD,SUPERIOR,Hombres
88.6,81.68679957606082,6.913200423939173,6.913200423939173,7.80270928209839,Principado de Asturias,SEGURIDAD Y MEDIO AMBIENTE,SUPERIOR,Hombres
48.3,68.42303860981991,-20.123038609819915,20.123038609819915,41.66260581743254,Principado de Asturias,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,SUPERIOR,Hombres
95.5,81.83877018311432,13.66122981688568,13.66122981688568,14.304952687838407,Principado de Asturias,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,Hombres
74.5,78.71988595637175,-4.219885956371755,4.219885956371755,5.664276451505711,Islas Baleares,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,Hombres
100.0,88.14386052183556,11.856139478164437,11.856139478164437,11.856139478164437,Islas Baleares,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,Hombres
97.0,86.0446988489643,10.955301151035698,10.955301151035698,11.294124897974948,Islas Baleares,AGRARIA,SUPERIOR,Hombres
87.8,80.58334117052304,7.216658829476955,7.216658829476955,8.219429190748242,Islas Baleares,ARTES GRÁFICAS,SUPERIOR,Hombres
80.8,84.28632185144274,-3.4863218514427388,3.4863218514427388,4.314754766637053,Islas Baleares,COMERCIO Y MARKETING,SUPERIOR,Hombres
72.7,78.84200799590356,-6.142007995903555,6.142007995903555,8.448429155300625,Islas Baleares,EDIFICACIÓN Y OBRA CIVIL,SUPERIOR,Hombres
85.1,81.94940911729894,3.150590882701053,3.150590882701053,3.702221953820274,Islas Baleares,ELECTRICIDAD Y ELECTRÓNICA,SUPERIOR,Hombres
70.0,79.14990713794192,-9.149907137941923,9.149907137941923,13.071295911345604,Islas Baleares,ENERGÍA Y AGUA,SUPERIOR,Hombres
70.7,71.12633590557773,-0.42633590557773005,0.42633590557773005,0.6030210828539322,Islas Baleares,HOSTELERÍA Y TURISMO,SUPERIOR,Hombres
96.7,85.85988870195628,10.840111298043723,10.840111298043723,11.21004270738751,Islas Baleares,IMAGEN PERSONAL,SUPERIOR,Hombres
77.4,68.28819590110054,9.11180409889947,9.11180409889947,11.772356716924378,Islas Baleares,IMAGEN Y SONIDO,SUPERIOR,Hombres
68.8,79.70360945128336,-10.903609451283359,10.903609451283359,15.848269551283952,Islas Baleares,INDUSTRIAS ALIMENTARIAS,SUPERIOR,Hombres
78.1,83.07505096896651,-4.975050968966514,4.975050968966514,6.370103673452643,Islas Baleares,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,Hombres
100.0,74.25609293156964,25.74390706843036,25.74390706843036,25.74390706843036,Islas Baleares,INSTALACIÓN Y MANTENIMIENTO,SUPERIOR,Hombres
93.5,73.83799927170088,19.66200072829912,19.66200072829912,21.028877784277135,Islas Baleares,"MADERA, MUEBLE Y CORCHO",SUPERIOR,Hombres
95.8,83.09850906591336,12.701490934086635,12.701490934086635,13.258341267313817,Islas Baleares,MARÍTIMO-PESQUERA,SUPERIOR,Hombres
80.9,80.0696521901699,0.8303478098301014,0.8303478098301014,1.0263878984302859,Islas Baleares,QUÍMICA,SUPERIOR,Hombres
82.5,85.0382814149448,-2.538281414944805,2.538281414944805,3.0767047453876426,Islas Baleares,SANIDAD,SUPERIOR,Hombres
82.3,78.5215987249289,3.7784012750711042,3.7784012750711042,4.5910100547644035,Islas Baleares,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,SUPERIOR,Hombres
100.0,75.49936635026747,24.500633649732535,24.500633649732535,24.500633649732535,Islas Baleares,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,Hombres
80.2,88.73586970865442,-8.535869708654417,8.535869708654417,10.64322906316012,Canarias,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,Hombres
72.7,71.83432891238616,0.8656710876138476,0.8656710876138476,1.190744274572005,Canarias,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,Hombres
46.2,70.58457258820626,-24.384572588206254,24.384572588206254,52.78046014763258,Canarias,AGRARIA,SUPERIOR,Hombres
94.1,87.26411234189574,6.835887658104255,6.835887658104255,7.264492729122482,Canarias,ARTES GRÁFICAS,SUPERIOR,Hombres
76.2,80.61127441617077,-4.4112744161707695,4.4112744161707695,5.789074036969514,Canarias,COMERCIO Y MARKETING,SUPERIOR,Hombres
92.0,76.8504621163708,15.149537883629193,15.149537883629193,16.466889003944775,Canarias,EDIFICACIÓN Y OBRA CIVIL,SUPERIOR,Hombres
90.9,82.4028033112158,8.4971966887842,8.4971966887842,9.347851142776896,Canarias,ELECTRICIDAD Y ELECTRÓNICA,SUPERIOR,Hombres
87.5,75.62020341123235,11.879796588767647,11.879796588767647,13.576910387163025,Canarias,ENERGÍA Y AGUA,SUPERIOR,Hombres
67.0,77.03974892735758,-10.039748927357579,10.039748927357579,14.984699891578476,Canarias,FABRICACIÓN MECÁNICA,SUPERIOR,Hombres
81.1,76.86695772674581,4.233042273254185,4.233042273254185,5.219534245689501,Canarias,HOSTELERÍA Y TURISMO,SUPERIOR,Hombres
100.0,73.62487379316069,26.37512620683931,26.37512620683931,26.37512620683931,Canarias,IMAGEN PERSONAL,SUPERIOR,Hombres
53.8,73.71904093767459,-19.919040937674595,19.919040937674595,37.0242396611052,Canarias,IMAGEN Y SONIDO,SUPERIOR,Hombres
50.0,82.792480483114,-32.792480483114005,32.792480483114005,65.58496096622801,Canarias,INDUSTRIAS ALIMENTARIAS,SUPERIOR,Hombres
84.7,67.39985783910417,17.30014216089583,17.30014216089583,20.425197356429553,Canarias,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,Hombres
60.8,86.20416104065144,-25.404161040651445,25.404161040651445,41.783159606334614,Canarias,INSTALACIÓN Y MANTENIMIENTO,SUPERIOR,Hombres
67.4,70.74335925688405,-3.3433592568840425,3.3433592568840425,4.96047367490214,Canarias,"MADERA, MUEBLE Y CORCHO",SUPERIOR,Hombres
64.2,79.54357994315183,-15.343579943151823,15.343579943151823,23.89965723232371,Canarias,MARÍTIMO-PESQUERA,SUPERIOR,Hombres
86.6,73.69992921305187,12.90007078694812,12.90007078694812,14.896155643127159,Canarias,QUÍMICA,SUPERIOR,Hombres
77.7,65.92226421657341,11.777735783426593,11.777735783426593,15.157961111231137,Canarias,SANIDAD,SUPERIOR,Hombres
96.1,76.03184698802342,20.068153011976577,20.068153011976577,20.882573373544826,Canarias,SEGURIDAD Y MEDIO AMBIENTE,SUPERIOR,Hombres
80.4,78.36657685390739,2.033423146092616,2.033423146092616,2.5291332662843486,Canarias,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,SUPERIOR,Hombres
85.3,86.22150876795672,-0.9215087679567233,0.9215087679567233,1.0803150855295702,Canarias,"TEXTIL, CONFECCIÓN Y PIEL",SUPERIOR,Hombres
71.6,85.40584702413305,-13.805847024133058,13.805847024133058,19.281909251582483,Canarias,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,Hombres
75.6,79.50761947040026,-3.907619470400263,3.907619470400263,5.168808823280772,Cantabria,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,Hombres
88.5,87.22128347744935,1.2787165225506527,1.2787165225506527,1.444877426610907,Cantabria,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,Hombres
86.4,71.41240681309803,14.987593186901975,14.987593186901975,17.346751373729134,Cantabria,AGRARIA,SUPERIOR,Hombres
82.2,81.0367167626118,1.1632832373881996,1.1632832373881996,1.4151864201802915,Cantabria,ARTES GRÁFICAS,SUPERIOR,Hombres
84.8,73.44665182020643,11.35334817979357,11.35334817979357,13.388382287492417,Cantabria,COMERCIO Y MARKETING,SUPERIOR,Hombres
75.1,88.46819047297204,-13.368190472972046,13.368190472972046,17.800519937379555,Cantabria,EDIFICACIÓN Y OBRA CIVIL,SUPERIOR,Hombres
70.4,71.70572760248068,-1.3057276024806725,1.3057276024806725,1.854726708069137,Cantabria,ELECTRICIDAD Y ELECTRÓNICA,SUPERIOR,Hombres
90.8,86.65192185478625,4.148078145213745,4.148078145213745,4.568368001336723,Cantabria,ENERGÍA Y AGUA,SUPERIOR,Hombres
73.7,87.79441418513991,-14.094414185139911,14.094414185139911,19.124035529362157,Cantabria,FABRICACIÓN MECÁNICA,SUPERIOR,Hombres
79.4,86.43183914817513,-7.0318391481751235,7.0318391481751235,8.856220589641213,Cantabria,HOSTELERÍA Y TURISMO,SUPERIOR,Hombres
78.4,80.88632447813944,-2.486324478139437,2.486324478139437,3.1713322425247923,Cantabria,IMAGEN PERSONAL,SUPERIOR,Hombres
87.4,86.08073705188022,1.3192629481197855,1.3192629481197855,1.5094541740500977,Cantabria,IMAGEN Y SONIDO,SUPERIOR,Hombres
78.3,80.10111310558595,-1.801113105585955,1.801113105585955,2.300272165499304,Cantabria,INDUSTRIAS ALIMENTARIAS,SUPERIOR,Hombres
68.1,80.17885814002149,-12.078858140021495,12.078858140021495,17.73694293688913,Cantabria,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,Hombres
67.0,70.10286856987061,-3.1028685698706084,3.1028685698706084,4.631147119209864,Cantabria,INSTALACIÓN Y MANTENIMIENTO,SUPERIOR,Hombres
83.1,84.2117215878427,-1.111721587842709,1.111721587842709,1.337811778390745,Cantabria,"MADERA, MUEBLE Y CORCHO",SUPERIOR,Hombres
81.8,66.26356851426362,15.536431485736372,15.536431485736372,18.99319252535009,Cantabria,QUÍMICA,SUPERIOR,Hombres
66.1,72.70116010290572,-6.601160102905723,6.601160102905723,9.986626479433774,Cantabria,SANIDAD,SUPERIOR,Hombres
37.9,70.02031546150872,-32.12031546150872,32.12031546150872,84.75017272165888,Cantabria,SEGURIDAD Y MEDIO AMBIENTE,SUPERIOR,Hombres
90.7,82.3677912525751,8.3322087474249,8.3322087474249,9.186558707193935,Cantabria,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,SUPERIOR,Hombres
95.0,85.11452943761947,9.885470562380533,9.885470562380533,10.40575848671635,Cantabria,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,Hombres
68.0,80.59465882513425,-12.594658825134246,12.594658825134246,18.521557095785656,Castilla y León,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,Hombres
30.9,72.02029717890707,-41.12029717890707,41.12029717890707,133.07539540099378,Castilla y León,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,Hombres
54.2,79.97704546674062,-25.777045466740617,25.777045466740617,47.55912447738121,Castilla y León,AGRARIA,SUPERIOR,Hombres
62.2,92.1381494740864,-29.9381494740864,29.9381494740864,48.13207310946366,Castilla y León,ARTES GRÁFICAS,SUPERIOR,Hombres
89.5,78.90403308514274,10.595966914857257,10.595966914857257,11.83906917861146,Castilla y León,COMERCIO Y MARKETING,SUPERIOR,Hombres
74.0,75.7548689901603,-1.754868990160304,1.754868990160304,2.371444581297708,Castilla y León,EDIFICACIÓN Y OBRA CIVIL,SUPERIOR,Hombres
