Porcentaje_Real,Porcentaje_Predicho,Error,Error_Absoluto,Error_Porcentual,Comunidad_Autonoma,Familia_Profesional,Nivel_Educativo,Sexo
75.9,71.92691563363367,3.9730843663663364,3.9730843663663364,5.234630258717175,Extremadura,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,Hombres
85.1,85.04952105762325,0.050478942376742,0.050478942376742,0.059317206083128085,Extremadura,AGRARIA,SUPERIOR,Hombres
89.5,92.50650530941981,-3.0065053094198078,3.0065053094198078,3.3592238094076063,Extremadura,ARTES GRÁFICAS,SUPERIOR,Hombres
54.5,79.55925570919311,-25.05925570919311,25.05925570919311,45.98028570494149,Extremadura,COMERCIO Y MARKETING,SUPERIOR,Hombres
79.4,88.41866718863842,-9.018667188638418,9.018667188638418,11.358522907605058,Extremadura,EDIFICACIÓN Y OBRA CIVIL,SUPERIOR,Hombres
67.5,69.32536141406958,-1.825361414069576,1.825361414069576,2.7042391319549273,Extremadura,ELECTRICIDAD Y ELECTRÓNICA,SUPERIOR,Hombres
0.0,85.98068223199027,-85.98068223199027,85.98068223199027,inf,Extremadura,ENERGÍA Y AGUA,SUPERIOR,Hombres
42.5,68.09541528692853,-25.595415286928528,25.595415286928528,60.22450655747888,Extremadura,FABRICACIÓN MECÁNICA,SUPERIOR,Hombres
55.6,72.46008995594872,-16.860089955948716,16.860089955948716,30.323902798468914,Extremadura,HOSTELERÍA Y TURISMO,SUPERIOR,Hombres
75.0,74.2921661171917,0.707833882808302,0.707833882808302,0.9437785104110693,Extremadura,IMAGEN PERSONAL,SUPERIOR,Hombres
86.8,73.19646504562401,13.603534954375988,13.603534954375988,15.672275293059895,Extremadura,IMAGEN Y SONIDO,SUPERIOR,Hombres
0.0,77.02005970943927,-77.02005970943927,77.02005970943927,inf,Extremadura,INDUSTRIAS ALIMENTARIAS,SUPERIOR,Hombres
66.5,75.84331763751452,-9.343317637514517,9.343317637514517,14.050101710548146,Extremadura,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,Hombres
92.2,57.085558379022004,35.114441620978,35.114441620978,38.085077680019516,Extremadura,INSTALACIÓN Y MANTENIMIENTO,SUPERIOR,Hombres
70.7,70.65116689446187,0.04883310553813658,0.04883310553813658,0.06907087063385654,Extremadura,"MADERA, MUEBLE Y CORCHO",SUPERIOR,Hombres
71.7,72.80600860849977,-1.1060086084997636,1.1060086084997636,1.5425503605296562,Extremadura,QUÍMICA,SUPERIOR,Hombres
90.0,80.68715198463205,9.312848015367948,9.312848015367948,10.347608905964387,Extremadura,SANIDAD,SUPERIOR,Hombres
93.6,77.5069285960003,16.0930714039997,16.0930714039997,17.193452354700536,Extremadura,SEGURIDAD Y MEDIO AMBIENTE,SUPERIOR,Hombres
95.3,76.14069815436598,19.15930184563402,19.15930184563402,20.10419920843024,Extremadura,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,SUPERIOR,Hombres
89.4,83.06408416966974,6.335915830330265,6.335915830330265,7.0871541726289315,Extremadura,"TEXTIL, CONFECCIÓN Y PIEL",SUPERIOR,Hombres
20.9,64.66709486124263,-43.76709486124263,43.76709486124263,209.41193713513223,Extremadura,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,Hombres
95.7,89.10657749492914,6.593422505070862,6.593422505070862,6.8896786886842865,Galicia,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,Hombres
80.9,77.35546501470851,3.5445349852914916,3.5445349852914916,4.381378226565502,Galicia,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,Hombres
83.0,80.1092487645783,2.8907512354217033,2.8907512354217033,3.482832813761089,Galicia,AGRARIA,SUPERIOR,Hombres
82.6,78.53930037236961,4.060699627630385,4.060699627630385,4.916101244104582,Galicia,ARTES GRÁFICAS,SUPERIOR,Hombres
89.7,82.14623577009344,7.553764229906562,7.553764229906562,8.421141839360716,Galicia,COMERCIO Y MARKETING,SUPERIOR,Hombres
78.9,63.6352505139232,15.26474948607681,15.26474948607681,19.34695752354475,Galicia,EDIFICACIÓN Y OBRA CIVIL,SUPERIOR,Hombres
93.4,84.70231026354327,8.697689736456738,8.697689736456738,9.312301645028628,Galicia,ELECTRICIDAD Y ELECTRÓNICA,SUPERIOR,Hombres
79.1,75.60512739357857,3.494872606421424,3.494872606421424,4.418296594717351,Galicia,ENERGÍA Y AGUA,SUPERIOR,Hombres
82.8,84.47627695528307,-1.6762769552830719,1.6762769552830719,2.024489076428831,Galicia,FABRICACIÓN MECÁNICA,SUPERIOR,Hombres
74.2,85.62063457459605,-11.42063457459605,11.42063457459605,15.391690801342387,Galicia,HOSTELERÍA Y TURISMO,SUPERIOR,Hombres
71.4,78.57786216316809,-7.177862163168086,7.177862163168086,10.053028239731212,Galicia,IMAGEN PERSONAL,SUPERIOR,Hombres
72.6,68.79830049075241,3.801699509247584,3.801699509247584,5.236500701442953,Galicia,IMAGEN Y SONIDO,SUPERIOR,Hombres
87.9,91.06263790843353,-3.162637908433524,3.162637908433524,3.597995345203099,Galicia,INDUSTRIAS ALIMENTARIAS,SUPERIOR,Hombres
71.8,77.82117461018275,-6.021174610182754,6.021174610182754,8.38603706153587,Galicia,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,Hombres
82.6,85.1618110287992,-2.5618110287992124,2.5618110287992124,3.10146613656079,Galicia,INSTALACIÓN Y MANTENIMIENTO,SUPERIOR,Hombres
79.2,82.48386932348444,-3.2838693234844385,3.2838693234844385,4.14629965086419,Galicia,"MADERA, MUEBLE Y CORCHO",SUPERIOR,Hombres
75.0,77.68417696630156,-2.684176966301564,2.684176966301564,3.5789026217354185,Galicia,MARÍTIMO-PESQUERA,SUPERIOR,Hombres
59.6,67.5250049912128,-7.925004991212795,7.925004991212795,13.296988240289926,Galicia,QUÍMICA,SUPERIOR,Hombres
90.0,72.38845403275343,17.61154596724657,17.61154596724657,19.568384408051745,Galicia,SANIDAD,SUPERIOR,Hombres
69.1,69.36574343427726,-0.2657434342772689,0.2657434342772689,0.38457805249966553,Galicia,SEGURIDAD Y MEDIO AMBIENTE,SUPERIOR,Hombres
73.1,73.39252686630367,-0.29252686630367464,0.29252686630367464,0.4001735517150132,Galicia,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,SUPERIOR,Hombres
62.8,76.76131061631793,-13.961310616317931,13.961310616317931,22.23138633171645,Galicia,"TEXTIL, CONFECCIÓN Y PIEL",SUPERIOR,Hombres
74.4,76.89862891298961,-2.498628912989602,2.498628912989602,3.358372194878497,Galicia,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,Hombres
66.2,70.2648620604966,-4.064862060496594,4.064862060496594,6.140275015855883,Comunidad de Madrid,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,Hombres
88.5,84.50054886322754,3.999451136772464,3.999451136772464,4.519153826861541,Comunidad de Madrid,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,Hombres
75.0,78.35139005210218,-3.3513900521021753,3.3513900521021753,4.468520069469567,Comunidad de Madrid,AGRARIA,SUPERIOR,Hombres
72.5,66.60787247400991,5.892127525990091,5.892127525990091,8.127072449641505,Comunidad de Madrid,ARTES GRÁFICAS,SUPERIOR,Hombres
93.1,90.35472162486656,2.745278375133438,2.745278375133438,2.948741541496711,Comunidad de Madrid,COMERCIO Y MARKETING,SUPERIOR,Hombres
75.5,62.63026712464495,12.869732875355048,12.869732875355048,17.046003808417282,Comunidad de Madrid,EDIFICACIÓN Y OBRA CIVIL,SUPERIOR,Hombres
97.1,88.85890912824293,8.241090871757066,8.241090871757066,8.487220259276071,Comunidad de Madrid,ELECTRICIDAD Y ELECTRÓNICA,SUPERIOR,Hombres
69.6,79.06022964545576,-9.460229645455769,9.460229645455769,13.59228397335599,Comunidad de Madrid,ENERGÍA Y AGUA,SUPERIOR,Hombres
100.0,81.87594510669922,18.12405489330078,18.12405489330078,18.12405489330078,Comunidad de Madrid,FABRICACIÓN MECÁNICA,SUPERIOR,Hombres
84.1,74.95020510101203,9.149794898987963,9.149794898987963,10.879660997607568,Comunidad de Madrid,HOSTELERÍA Y TURISMO,SUPERIOR,Hombres
83.2,77.85271977098094,5.347280229019063,5.347280229019063,6.4270195060325275,Comunidad de Madrid,IMAGEN PERSONAL,SUPERIOR,Hombres
79.0,83.03218600838318,-4.032186008383178,4.032186008383178,5.104032922004023,Comunidad de Madrid,IMAGEN Y SONIDO,SUPERIOR,Hombres
93.7,78.45626822878661,15.24373177121339,15.24373177121339,16.268657173119948,Comunidad de Madrid,INDUSTRIAS ALIMENTARIAS,SUPERIOR,Hombres
76.1,71.3207760056246,4.7792239943754,4.7792239943754,6.280189217313273,Comunidad de Madrid,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,Hombres
63.7,80.78855056571253,-17.088550565712524,17.088550565712524,26.82660999326927,Comunidad de Madrid,INSTALACIÓN Y MANTENIMIENTO,SUPERIOR,Hombres
88.5,82.53183970690597,5.96816029309403,5.96816029309403,6.743683946998905,Comunidad de Madrid,"MADERA, MUEBLE Y CORCHO",SUPERIOR,Hombres
74.5,84.47246977050624,-9.972469770506237,9.972469770506237,13.385865463766761,Comunidad de Madrid,QUÍMICA,SUPERIOR,Hombres
63.3,77.66994096241233,-14.369940962412329,14.369940962412329,22.701328534616636,Comunidad de Madrid,SANIDAD,SUPERIOR,Hombres
85.7,76.19926736563717,9.500732634362834,9.500732634362834,11.086035746047648,Comunidad de Madrid,SEGURIDAD Y MEDIO AMBIENTE,SUPERIOR,Hombres
81.4,83.92790348774952,-2.527903487749512,2.527903487749512,3.1055325402328156,Comunidad de Madrid,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,SUPERIOR,Hombres
75.1,73.81613591559235,1.2838640844076394,1.2838640844076394,1.7095393933523828,Comunidad de Madrid,"TEXTIL, CONFECCIÓN Y PIEL",SUPERIOR,Hombres
95.0,86.93511329872082,8.064886701279178,8.064886701279178,8.489354422399135,Comunidad de Madrid,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,Hombres
60.4,68.99938395935733,-8.599383959357333,8.599383959357333,14.237390661187638,Región de Murcia,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,Hombres
85.0,80.42973541036491,4.570264589635087,4.570264589635087,5.3767818701589265,Región de Murcia,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,Hombres
78.5,83.0388560932998,-4.538856093299799,4.538856093299799,5.781982284458342,Región de Murcia,AGRARIA,SUPERIOR,Hombres
56.1,79.38801995116411,-23.28801995116411,23.28801995116411,41.51162201633531,Región de Murcia,ARTES GRÁFICAS,SUPERIOR,Hombres
85.2,79.31123863074694,5.888761369253061,5.888761369253061,6.911691747949601,Región de Murcia,COMERCIO Y MARKETING,SUPERIOR,Hombres
63.7,79.80561932683374,-16.105619326833732,16.105619326833732,25.283546823914804,Región de Murcia,EDIFICACIÓN Y OBRA CIVIL,SUPERIOR,Hombres
90.6,89.085751006516,1.5142489934839887,1.5142489934839887,1.671356504949215,Región de Murcia,ELECTRICIDAD Y ELECTRÓNICA,SUPERIOR,Hombres
52.5,79.1098612266635,-26.609861226663497,26.609861226663497,50.68544995554952,Región de Murcia,ENERGÍA Y AGUA,SUPERIOR,Hombres
83.1,89.60066746249773,-6.500667462497731,6.500667462497731,7.822704527674766,Región de Murcia,FABRICACIÓN MECÁNICA,SUPERIOR,Hombres
95.3,76.37407523124676,18.925924768753234,18.925924768753234,19.859312454095736,Región de Murcia,HOSTELERÍA Y TURISMO,SUPERIOR,Hombres
85.8,81.658313929101,4.141686070898999,4.141686070898999,4.8271399427727255,Región de Murcia,IMAGEN PERSONAL,SUPERIOR,Hombres
94.8,85.74287168351371,9.057128316486285,9.057128316486285,9.55393282329777,Región de Murcia,IMAGEN Y SONIDO,SUPERIOR,Hombres
63.4,67.23839107369315,-3.8383910736931526,3.8383910736931526,6.054244595730525,Región de Murcia,INDUSTRIAS ALIMENTARIAS,SUPERIOR,Hombres
90.4,84.86146046826082,5.53853953173919,5.53853953173919,6.126703021835386,Región de Murcia,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,Hombres
90.1,79.1745519462997,10.925448053700293,10.925448053700293,12.125913489123523,Región de Murcia,INSTALACIÓN Y MANTENIMIENTO,SUPERIOR,Hombres
56.9,77.45770593733958,-20.557705937339584,20.557705937339584,36.12953591799575,Región de Murcia,MARÍTIMO-PESQUERA,SUPERIOR,Hombres
75.1,82.97724913143865,-7.87724913143866,7.87724913143866,10.489013490597419,Región de Murcia,QUÍMICA,SUPERIOR,Hombres
85.2,86.02129552455393,-0.821295524553932,0.821295524553932,0.9639618832792629,Región de Murcia,SANIDAD,SUPERIOR,Hombres
79.6,77.06134281735888,2.538657182641117,2.538657182641117,3.189267817388338,Región de Murcia,SEGURIDAD Y MEDIO AMBIENTE,SUPERIOR,Hombres
62.4,80.94812435499858,-18.548124354998585,18.548124354998585,29.724558261215684,Región de Murcia,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,SUPERIOR,Hombres
76.0,79.94928494036836,-3.949284940368358,3.949284940368358,5.19642755311626,Región de Murcia,"TEXTIL, CONFECCIÓN Y PIEL",SUPERIOR,Hombres
85.3,87.02879181537162,-1.728791815371622,1.728791815371622,2.0267195959807993,Región de Murcia,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,Hombres
87.2,87.17085663751193,0.029143362488071034,0.029143362488071034,0.033421287256962195,Comunidad Foral de Navarra,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,Hombres
45.5,82.61581642704557,-37.11581642704557,37.11581642704557,81.57322291658367,Comunidad Foral de Navarra,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,Hombres
80.4,87.8432132190805,-7.443213219080491,7.443213219080491,9.257727884428471,Comunidad Foral de Navarra,AGRARIA,SUPERIOR,Hombres
85.0,78.54141160098091,6.458588399019092,6.458588399019092,7.5983392929636375,Comunidad Foral de Navarra,ARTES GRÁFICAS,SUPERIOR,Hombres
78.9,77.1216064480772,1.7783935519228038,1.7783935519228038,2.2539842229693328,Comunidad Foral de Navarra,COMERCIO Y MARKETING,SUPERIOR,Hombres
68.9,70.57460195637138,-1.6746019563713759,1.6746019563713759,2.430481794443216,Comunidad Foral de Navarra,EDIFICACIÓN Y OBRA CIVIL,SUPERIOR,Hombres
70.8,73.41496392320059,-2.614963923200591,2.614963923200591,3.6934518689273887,Comunidad Foral de Navarra,ELECTRICIDAD Y ELECTRÓNICA,SUPERIOR,Hombres
83.6,77.71824242698551,5.881757573014482,5.881757573014482,7.035595183031678,Comunidad Foral de Navarra,ENERGÍA Y AGUA,SUPERIOR,Hombres
100.0,78.03419599738042,21.965804002619578,21.965804002619578,21.965804002619578,Comunidad Foral de Navarra,FABRICACIÓN MECÁNICA,SUPERIOR,Hombres
70.3,78.45662165690224,-8.156621656902246,8.156621656902246,11.602591261596368,Comunidad Foral de Navarra,HOSTELERÍA Y TURISMO,SUPERIOR,Hombres
90.8,70.20507156583963,20.594928434160366,20.594928434160366,22.681639244670006,Comunidad Foral de Navarra,IMAGEN PERSONAL,SUPERIOR,Hombres
58.8,71.77037316239765,-12.97037316239765,12.97037316239765,22.058457759179678,Comunidad Foral de Navarra,IMAGEN Y SONIDO,SUPERIOR,Hombres
67.8,70.95834035793663,-3.1583403579366376,3.1583403579366376,4.658319112000941,Comunidad Foral de Navarra,INDUSTRIAS ALIMENTARIAS,SUPERIOR,Hombres
83.5,76.67656487952785,6.823435120472155,6.823435120472155,8.171778587391803,Comunidad Foral de Navarra,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,Hombres
71.8,77.39290065979617,-5.592900659796172,5.592900659796172,7.789555236484919,Comunidad Foral de Navarra,INSTALACIÓN Y MANTENIMIENTO,SUPERIOR,Hombres
81.6,75.00749118555147,6.5925088144485215,6.5925088144485215,8.079054919667307,Comunidad Foral de Navarra,"MADERA, MUEBLE Y CORCHO",SUPERIOR,Hombres
66.7,69.02342308986599,-2.323423089865983,2.323423089865983,3.4833929383298092,Comunidad Foral de Navarra,QUÍMICA,SUPERIOR,Hombres
87.0,81.60600262190786,5.393997378092138,5.393997378092138,6.199996986312803,Comunidad Foral de Navarra,SANIDAD,SUPERIOR,Hombres
86.4,85.00140621608544,1.3985937839145635,1.3985937839145635,1.6187428054566706,Comunidad Foral de Navarra,SEGURIDAD Y MEDIO AMBIENTE,SUPERIOR,Hombres
97.7,75.94414926512472,21.75585073487528,21.75585073487528,22.26801508175566,Comunidad Foral de Navarra,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,SUPERIOR,Hombres
83.5,80.87455387151978,2.6254461284802204,2.6254461284802204,3.144246860455354,Comunidad Foral de Navarra,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,Hombres
92.9,83.99805320046073,8.901946799539274,8.901946799539274,9.58228934288404,País Vasco,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,Hombres
94.4,91.65636552102,2.743634478979999,2.743634478979999,2.906392456546609,País Vasco,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,Hombres
88.5,77.72888970567682,10.77111029432318,10.77111029432318,12.170746095280428,País Vasco,AGRARIA,SUPERIOR,Hombres
74.2,69.24037264182705,4.959627358172952,4.959627358172952,6.684133905893466,País Vasco,ARTES GRÁFICAS,SUPERIOR,Hombres
75.1,84.11971411512934,-9.019714115129347,9.019714115129347,12.01027179111764,País Vasco,COMERCIO Y MARKETING,SUPERIOR,Hombres
78.6,73.18693083777546,5.413069162224531,5.413069162224531,6.886856440489225,País Vasco,EDIFICACIÓN Y OBRA CIVIL,SUPERIOR,Hombres
88.8,79.66398138890652,9.136018611093476,9.136018611093476,10.288309246726888,País Vasco,ELECTRICIDAD Y ELECTRÓNICA,SUPERIOR,Hombres
94.5,75.87033128583997,18.629668714160033,18.629668714160033,19.713935147259296,País Vasco,ENERGÍA Y AGUA,SUPERIOR,Hombres
91.7,91.67256180424322,0.027438195756786854,0.027438195756786854,0.029921696572286646,País Vasco,FABRICACIÓN MECÁNICA,SUPERIOR,Hombres
69.3,89.87753260959931,-20.577532609599317,20.577532609599317,29.693409249061066,País Vasco,HOSTELERÍA Y TURISMO,SUPERIOR,Hombres
81.9,72.6183390532913,9.281660946708712,9.281660946708712,11.332919348850686,País Vasco,IMAGEN PERSONAL,SUPERIOR,Hombres
91.4,89.15930711473175,2.2406928852682597,2.2406928852682597,2.4515239444948134,País Vasco,IMAGEN Y SONIDO,SUPERIOR,Hombres
100.0,78.77582957283812,21.22417042716188,21.22417042716188,21.22417042716188,País Vasco,INDUSTRIAS ALIMENTARIAS,SUPERIOR,Hombres
87.5,75.88655601605764,11.61344398394236,11.61344398394236,13.272507410219841,País Vasco,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,Hombres
85.4,77.10918770173244,8.290812298267568,8.290812298267568,9.70821112209317,País Vasco,INSTALACIÓN Y MANTENIMIENTO,SUPERIOR,Hombres
64.5,70.29186008456739,-5.791860084567389,5.791860084567389,8.979628038088975,País Vasco,"MADERA, MUEBLE Y CORCHO",SUPERIOR,Hombres
94.1,88.38663214652915,5.713367853470842,5.713367853470842,6.0715917677692275,País Vasco,MARÍTIMO-PESQUERA,SUPERIOR,Hombres
78.8,84.08000077544858,-5.280000775448585,5.280000775448585,6.700508598285006,País Vasco,QUÍMICA,SUPERIOR,Hombres
92.2,87.26877301644062,4.931226983559384,4.931226983559384,5.348402368285666,País Vasco,SANIDAD,SUPERIOR,Hombres
63.3,70.38002251599717,-7.080022515997172,7.080022515997172,11.184869693518438,País Vasco,SEGURIDAD Y MEDIO AMBIENTE,SUPERIOR,Hombres
67.8,67.58836799065841,0.2116320093415851,0.2116320093415851,0.31214160669850316,País Vasco,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,SUPERIOR,Hombres
89.7,77.9350938049744,11.764906195025603,11.764906195025603,13.115837452648385,País Vasco,"TEXTIL, CONFECCIÓN Y PIEL",SUPERIOR,Hombres
80.6,63.28463422373535,17.315365776264642,17.315365776264642,21.483084089658366,País Vasco,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,Hombres
68.4,67.67927129505827,0.7207287049417346,0.7207287049417346,1.0536969370493194,La Rioja,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,Hombres
78.6,69.00059080301627,9.599409196983729,9.599409196983729,12.212988800233752,La Rioja,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,Hombres
72.5,75.12056835646602,-2.6205683564660234,2.6205683564660234,3.6145770434014115,La Rioja,AGRARIA,SUPERIOR,Hombres
41.5,76.68243292141094,-35.182432921410935,35.182432921410935,84.77694679858057,La Rioja,COMERCIO Y MARKETING,SUPERIOR,Hombres
88.2,70.77922302176162,17.42077697823838,17.42077697823838,19.751447821131947,La Rioja,EDIFICACIÓN Y OBRA CIVIL,SUPERIOR,Hombres
89.3,79.85768338203101,9.442316617968984,9.442316617968984,10.573702819674114,La Rioja,ELECTRICIDAD Y ELECTRÓNICA,SUPERIOR,Hombres
56.5,73.20615104443013,-16.70615104443013,16.70615104443013,29.568408928194916,La Rioja,ENERGÍA Y AGUA,SUPERIOR,Hombres
68.5,73.1197512778314,-4.619751277831398,4.619751277831398,6.744162449388902,La Rioja,FABRICACIÓN MECÁNICA,SUPERIOR,Hombres
97.3,87.60701841828691,9.692981581713084,9.692981581713084,9.96195434913986,La Rioja,HOSTELERÍA Y TURISMO,SUPERIOR,Hombres
85.9,86.84489990229214,-0.9448999022921356,0.9448999022921356,1.0999998862539413,La Rioja,IMAGEN PERSONAL,SUPERIOR,Hombres
97.1,83.89557159550371,13.204428404496284,13.204428404496284,13.59879341348742,La Rioja,INDUSTRIAS ALIMENTARIAS,SUPERIOR,Hombres
68.6,71.07684454896524,-2.4768445489652464,2.4768445489652464,3.610560567004733,La Rioja,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,Hombres
100.0,77.88609186936988,22.113908130630122,22.113908130630122,22.113908130630122,La Rioja,INSTALACIÓN Y MANTENIMIENTO,SUPERIOR,Hombres
83.4,71.27294703240719,12.127052967592817,12.127052967592817,14.540830896394263,La Rioja,QUÍMICA,SUPERIOR,Hombres
81.4,84.19581487212051,-2.795814872120502,2.795814872120502,3.434662005062042,La Rioja,SANIDAD,SUPERIOR,Hombres
85.2,81.01763207560886,4.182367924391144,4.182367924391144,4.908882540365193,La Rioja,SEGURIDAD Y MEDIO AMBIENTE,SUPERIOR,Hombres
89.5,68.0721021046754,21.427897895324605,21.427897895324605,23.94178535790459,La Rioja,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,SUPERIOR,Hombres
91.5,90.105419020413,1.3945809795870048,1.3945809795870048,1.524132218127874,La Rioja,"TEXTIL, CONFECCIÓN Y PIEL",SUPERIOR,Hombres
90.9,84.98829905129972,5.911700948700286,5.911700948700286,6.503521395709885,La Rioja,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,Hombres
53.8,65.18507046995565,-11.38507046995565,11.38507046995565,21.1618410222224,Ceuta,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,Hombres
92.6,82.01112253265521,10.588877467344787,10.588877467344787,11.435072858903657,Ceuta,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,Hombres
86.9,83.45800890408594,3.4419910959140623,3.4419910959140623,3.960864322110543,Ceuta,AGRARIA,SUPERIOR,Hombres
83.3,78.82452294430233,4.475477055697667,4.475477055697667,5.372721555459384,Ceuta,EDIFICACIÓN Y OBRA CIVIL,SUPERIOR,Hombres
98.7,85.39983143777219,13.30016856222781,13.30016856222781,13.475348087363537,Ceuta,ELECTRICIDAD Y ELECTRÓNICA,SUPERIOR,Hombres
51.3,77.6709639310261,-26.370963931026097,26.370963931026097,51.40538777977797,Ceuta,ENERGÍA Y AGUA,SUPERIOR,Hombres
91.7,66.60256926130998,25.097430738690022,25.097430738690022,27.36906296476556,Ceuta,HOSTELERÍA Y TURISMO,SUPERIOR,Hombres
86.1,81.42062112161791,4.6793788783820816,4.6793788783820816,5.4348186740790725,Ceuta,IMAGEN PERSONAL,SUPERIOR,Hombres
89.6,84.77079165768902,4.829208342310977,4.829208342310977,5.389741453472073,Ceuta,IMAGEN Y SONIDO,SUPERIOR,Hombres
87.8,82.15303451275237,5.646965487247627,5.646965487247627,6.431623561785452,Ceuta,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,Hombres
93.3,90.00901275123174,3.2909872487682605,3.2909872487682605,3.527317522795563,Ceuta,SANIDAD,SUPERIOR,Hombres
78.6,73.14901296559744,5.450987034402559,5.450987034402559,6.93509800814575,Ceuta,SEGURIDAD Y MEDIO AMBIENTE,SUPERIOR,Hombres
71.3,71.33898709569054,-0.03898709569054404,0.03898709569054404,0.05468035861226373,Ceuta,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,SUPERIOR,Hombres
60.6,64.65834877192479,-4.058348771924791,4.058348771924791,6.696945168192725,Ceuta,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,Hombres
88.6,88.65917868835064,-0.05917868835064155,0.05917868835064155,0.0667931019758934,Melilla,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,Hombres
86.5,90.62555431935847,-4.125554319358471,4.125554319358471,4.769426958795921,Melilla,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,Hombres
71.5,82.7433742506808,-11.243374250680802,11.243374250680802,15.72499895200112,Melilla,COMERCIO Y MARKETING,SUPERIOR,Hombres
80.8,77.62277618374583,3.1772238162541697,3.1772238162541697,3.9322076933838734,Melilla,ELECTRICIDAD Y ELECTRÓNICA,SUPERIOR,Hombres
86.6,72.2146108484159,14.385389151584093,14.385389151584093,16.611303870189484,Melilla,HOSTELERÍA Y TURISMO,SUPERIOR,Hombres
83.2,87.05255542348584,-3.852555423485839,3.852555423485839,4.630475268612788,Melilla,IMAGEN Y SONIDO,SUPERIOR,Hombres
93.6,77.44080643457423,16.159193565425767,16.159193565425767,17.264095689557443,Melilla,INFORMÁTICA Y COMUNICACIONES,SUPERIOR,Hombres
74.6,70.90042670979352,3.699573290206473,3.699573290206473,4.959213525745943,Melilla,SANIDAD,SUPERIOR,Hombres
80.5,86.9262189840018,-6.426218984001807,6.426218984001807,7.982880725468084,Melilla,SEGURIDAD Y MEDIO AMBIENTE,SUPERIOR,Hombres
89.2,71.41034885107852,17.78965114892148,17.78965114892148,19.943555099687757,Melilla,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,SUPERIOR,Hombres
78.5,84.12603012367303,-5.626030123673033,5.626030123673033,7.166917354997494,Melilla,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,SUPERIOR,Hombres
80.7,76.36792713372381,4.332072866276192,4.332072866276192,5.368120032560337,Andalucía,ACTIVIDADES FÍSICAS Y DEPORTIVAS,SUPERIOR,Mujeres
71.0,56.20897900829828,14.791020991701721,14.791020991701721,20.832423931974255,Andalucía,ADMINISTRACIÓN Y GESTIÓN,SUPERIOR,Mujeres
98.7,80.271670318248,18.428329681752004,18.428329681752004,18.671053375635264,Andalucía,AGRARIA,SUPERIOR,Mujeres
62.2,73.63482331884853,-11.43482331884853,11.43482331884853,18.383960319692168,Andalucía,ARTES GRÁFICAS,SUPERIOR,Mujeres
93.8,81.85067858093639,11.949321419063608,11.949321419063608,12.739148634396171,Andalucía,COMERCIO Y MARKETING,SUPERIOR,Mujeres
59.5,85.00878710695832,-25.508787106958323,25.508787106958323,42.871911104131634,Andalucía,EDIFICACIÓN Y OBRA CIVIL,SUPERIOR,Mujeres
