Nivel_Real,Nivel_Predicho,Correcto,Comunidad_Autonoma,Familia_Profesional,Sexo,Porcentaje
MEDIO,MEDIO,True,Comunidad Foral de Navarra,ENERGÍA Y AGUA,AMBOS SEXOS,87.8
BASICO,MEDIO,False,Comunidad Foral de Navarra,FABRICACIÓN MECÁNICA,AMBOS SEXOS,86.1
SUPERIOR,SUPERIOR,True,Comunidad Foral de Navarra,HOSTELERÍA Y TURISMO,AMBOS SEXOS,86.9
BASICO,MEDIO,False,Comunidad Foral de Navarra,IMAGEN PERSONAL,AMBOS SEXOS,88.8
SUPERIOR,MEDIO,False,Comunidad Foral de Navarra,IMAGEN Y SONIDO,AMBOS SEXOS,88.5
BASICO,BASICO,True,Comunidad Foral de Navarra,INDUSTRIAS ALIMENTARIAS,AMBOS SEXOS,79.8
MEDIO,MEDIO,True,Comunidad Foral de Navarra,INFORMÁTICA Y COMUNICACIONES,AMBOS SEXOS,85.0
MEDIO,MEDIO,True,Comunidad Foral de Navarra,INSTALACIÓN Y MANTENIMIENTO,AMBOS SEXOS,87.5
MEDIO,MEDIO,True,Comunidad Foral de Navarra,"MADERA, MUEBLE Y CORCHO",AMBOS SEXOS,94.4
MEDIO,SUPERIOR,False,Comunidad Foral de Navarra,QUÍMICA,AMBOS SEXOS,93.4
SUPERIOR,MEDIO,False,Comunidad Foral de Navarra,SANIDAD,AMBOS SEXOS,94.9
MEDIO,BASICO,False,Comunidad Foral de Navarra,SEGURIDAD Y MEDIO AMBIENTE,AMBOS SEXOS,94.2
SUPERIOR,MEDIO,False,Comunidad Foral de Navarra,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,AMBOS SEXOS,92.5
SUPERIOR,SUPERIOR,True,Comunidad Foral de Navarra,TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,AMBOS SEXOS,91.9
MEDIO,SUPERIOR,False,País Vasco,ACTIVIDADES FÍSICAS Y DEPORTIVAS,AMBOS SEXOS,98.1
SUPERIOR,SUPERIOR,True,País Vasco,ADMINISTRACIÓN Y GESTIÓN,AMBOS SEXOS,96.1
BASICO,MEDIO,False,País Vasco,AGRARIA,AMBOS SEXOS,89.1
BASICO,BASICO,True,País Vasco,ARTES GRÁFICAS,AMBOS SEXOS,94.0
BASICO,BASICO,True,País Vasco,COMERCIO Y MARKETING,AMBOS SEXOS,96.3
