cluster,Media,Desv Est,Mínimo,Máximo,N
0,136.78419811320754,47.91284280455081,76.0,244.0,848
1,13.363655379817331,19.841842370335947,0.0,85.0,4489
2,13.58778895785691,18.523401707843718,0.0,75.0,6122
3,18.650380760327515,26.86611318734404,0.0,147.0,2842
4,534.4978723404255,69.40192455693037,434.0,678.0,235
5,154.80195258019526,49.63827081137094,86.0,324.0,717
6,327.8203753351206,49.448326595391976,246.0,433.0,373
7,822.983870967742,93.15656755807787,681.0,998.0,124
