Sexo,Comunidad autónoma/provincia,Ciclo formativo,Total,nivel_ciclo,nivel_ciclo_cod,Ciclo formativo_cod,cluster
AMBOS SEXOS,Total de alumnado que terminó,14 INDUSTRIAS ALIMENTARIAS,157.0,BASICO,0,13,5
AMBOS SEXOS,Total de alumnado que terminó,Industrias alimentarias,157.0,BASICO,0,122,5
AMBOS SEXOS,Total de alumnado que terminó,16 INFORMÁTICA Y COMUNICACIONES,3.46,BASICO,0,15,3
AMBOS SEXOS,Total de alumnado que terminó,Informática de oficina,1.446,BASICO,0,124,3
AMBOS SEXOS,Total de alumnado que terminó,Informática y comunicaciones,2.014,BASICO,0,125,3
AMBOS SEXOS,Total de alumnado que terminó,17 INSTALACIÓN Y MANTENIMIENTO,155.0,BASICO,0,16,5
AMBOS SEXOS,Total de alumnado que terminó,Mantenimiento de viviendas,155.0,BASICO,0,147,5
AMBOS SEXOS,Total de alumnado que terminó,"18 MADERA, MUEBLE Y CORCHO",413.0,BASICO,0,17,6
AMBOS SEXOS,Total de alumnado que terminó,Carpintería y mueble,413.0,BASICO,0,58,6
AMBOS SEXOS,Total de alumnado que terminó,19 MARÍTIMO-PESQUERA,7.0,BASICO,0,18,3
AMBOS SEXOS,Total de alumnado que terminó,Actividades marítimo-pesqueras,7.0,BASICO,0,34,3
AMBOS SEXOS,Total de alumnado que terminó,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,137.0,BASICO,0,22,3
AMBOS SEXOS,Total de alumnado que terminó,Actividades domésticas y limpieza de edificios,137.0,BASICO,0,32,3
AMBOS SEXOS,Total de alumnado que terminó,"24 TEXTIL, CONFECCIÓN Y PIEL",109.0,BASICO,0,23,3
AMBOS SEXOS,Total de alumnado que terminó,Arreglo y reparación de artículos textiles y de piel,73.0,BASICO,0,47,3
AMBOS SEXOS,Total de alumnado que terminó,Tapicería y cortinaje,36.0,BASICO,0,197,3
AMBOS SEXOS,Total de alumnado que terminó,25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,1.757,BASICO,0,24,3
AMBOS SEXOS,Total de alumnado que terminó,Mantenimiento de embarcaciones deportivas y de recreo,31.0,BASICO,0,142,3
AMBOS SEXOS,Total de alumnado que terminó,Mantenimiento de vehículos,1.726,BASICO,0,146,3
AMBOS SEXOS,Total de alumnado que terminó,26 VIDRIO Y CERÁMICA,21.0,BASICO,0,25,3
AMBOS SEXOS,Total de alumnado que terminó,Vidriería y alfarería,21.0,BASICO,0,202,3
AMBOS SEXOS,01 ANDALUCÍA,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,0.0,BASICO,0,0,3
AMBOS SEXOS,01 ANDALUCÍA,Acceso y Conservación en Instalaciones Deportivas,0.0,BASICO,0,26,3
AMBOS SEXOS,01 ANDALUCÍA,02 ADMINISTRACIÓN Y GESTIÓN,812.0,BASICO,0,1,7
AMBOS SEXOS,01 ANDALUCÍA,Servicios administrativos,812.0,BASICO,0,189,7
AMBOS SEXOS,01 ANDALUCÍA,03 AGRARIA,367.0,BASICO,0,2,6
AMBOS SEXOS,01 ANDALUCÍA,Actividades agropecuarias,40.0,BASICO,0,29,3
AMBOS SEXOS,01 ANDALUCÍA,Agro-jardinería y composiciones florales,308.0,BASICO,0,40,5
AMBOS SEXOS,01 ANDALUCÍA,Aprovechamientos forestales,19.0,BASICO,0,46,3
AMBOS SEXOS,01 ANDALUCÍA,04 ARTES GRÁFICAS,4.0,BASICO,0,3,3
AMBOS SEXOS,01 ANDALUCÍA,Artes gráficas,4.0,BASICO,0,48,3
AMBOS SEXOS,01 ANDALUCÍA,06 COMERCIO Y MARKETING,124.0,BASICO,0,5,3
AMBOS SEXOS,01 ANDALUCÍA,Servicios comerciales,124.0,BASICO,0,190,3
AMBOS SEXOS,01 ANDALUCÍA,07 EDIFICACIÓN Y OBRA CIVIL,70.0,BASICO,0,6,3
AMBOS SEXOS,01 ANDALUCÍA,Reforma y mantenimiento de edificios,70.0,BASICO,0,188,3
AMBOS SEXOS,01 ANDALUCÍA,08 ELECTRICIDAD Y ELECTRÓNICA,492.0,BASICO,0,7,4
AMBOS SEXOS,01 ANDALUCÍA,Electricidad y electrónica,492.0,BASICO,0,91,4
AMBOS SEXOS,01 ANDALUCÍA,Instalaciones electrotécnicas y mecánica,0.0,BASICO,0,128,3
AMBOS SEXOS,01 ANDALUCÍA,10 FABRICACIÓN MECÁNICA,287.0,BASICO,0,9,5
AMBOS SEXOS,01 ANDALUCÍA,Fabricación de elementos metálicos,0.0,BASICO,0,104,3
AMBOS SEXOS,01 ANDALUCÍA,Fabricación y montaje,287.0,BASICO,0,107,5
AMBOS SEXOS,01 ANDALUCÍA,11 HOSTELERÍA Y TURISMO,268.0,BASICO,0,10,5
AMBOS SEXOS,01 ANDALUCÍA,Actividades de panadería y pastelería,0.0,BASICO,0,31,3
AMBOS SEXOS,01 ANDALUCÍA,Alojamiento y lavandería,27.0,BASICO,0,41,3
AMBOS SEXOS,01 ANDALUCÍA,Cocina y restauración,241.0,BASICO,0,62,5
AMBOS SEXOS,01 ANDALUCÍA,12 IMAGEN PERSONAL,214.0,BASICO,0,11,5
AMBOS SEXOS,01 ANDALUCÍA,Peluquería y estética,214.0,BASICO,0,167,5
AMBOS SEXOS,01 ANDALUCÍA,14 INDUSTRIAS ALIMENTARIAS,53.0,BASICO,0,13,3
AMBOS SEXOS,01 ANDALUCÍA,Industrias alimentarias,53.0,BASICO,0,122,3
AMBOS SEXOS,01 ANDALUCÍA,16 INFORMÁTICA Y COMUNICACIONES,706.0,BASICO,0,15,7
AMBOS SEXOS,01 ANDALUCÍA,Informática de oficina,159.0,BASICO,0,124,5
AMBOS SEXOS,01 ANDALUCÍA,Informática y comunicaciones,547.0,BASICO,0,125,4
AMBOS SEXOS,01 ANDALUCÍA,17 INSTALACIÓN Y MANTENIMIENTO,0.0,BASICO,0,16,3
AMBOS SEXOS,01 ANDALUCÍA,Mantenimiento de viviendas,0.0,BASICO,0,147,3
AMBOS SEXOS,01 ANDALUCÍA,"18 MADERA, MUEBLE Y CORCHO",76.0,BASICO,0,17,3
AMBOS SEXOS,01 ANDALUCÍA,Carpintería y mueble,76.0,BASICO,0,58,3
AMBOS SEXOS,01 ANDALUCÍA,19 MARÍTIMO-PESQUERA,0.0,BASICO,0,18,3
AMBOS SEXOS,01 ANDALUCÍA,Actividades marítimo-pesqueras,0.0,BASICO,0,34,3
AMBOS SEXOS,01 ANDALUCÍA,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,49.0,BASICO,0,22,3
AMBOS SEXOS,01 ANDALUCÍA,Actividades domésticas y limpieza de edificios,49.0,BASICO,0,32,3
AMBOS SEXOS,01 ANDALUCÍA,"24 TEXTIL, CONFECCIÓN Y PIEL",17.0,BASICO,0,23,3
AMBOS SEXOS,01 ANDALUCÍA,Arreglo y reparación de artículos textiles y de piel,5.0,BASICO,0,47,3
AMBOS SEXOS,01 ANDALUCÍA,Tapicería y cortinaje,12.0,BASICO,0,197,3
AMBOS SEXOS,01 ANDALUCÍA,25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,263.0,BASICO,0,24,5
AMBOS SEXOS,01 ANDALUCÍA,Mantenimiento de embarcaciones deportivas y de recreo,4.0,BASICO,0,142,3
AMBOS SEXOS,01 ANDALUCÍA,Mantenimiento de vehículos,259.0,BASICO,0,146,5
AMBOS SEXOS,01 ANDALUCÍA,26 VIDRIO Y CERÁMICA,6.0,BASICO,0,25,3
AMBOS SEXOS,01 ANDALUCÍA,Vidriería y alfarería,6.0,BASICO,0,202,3
AMBOS SEXOS,Almería,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,0.0,BASICO,0,0,3
AMBOS SEXOS,Almería,Acceso y Conservación en Instalaciones Deportivas,0.0,BASICO,0,26,3
AMBOS SEXOS,Almería,02 ADMINISTRACIÓN Y GESTIÓN,57.0,BASICO,0,1,3
AMBOS SEXOS,Almería,Servicios administrativos,57.0,BASICO,0,189,3
AMBOS SEXOS,Almería,03 AGRARIA,50.0,BASICO,0,2,3
AMBOS SEXOS,Almería,Actividades agropecuarias,7.0,BASICO,0,29,3
AMBOS SEXOS,Almería,Agro-jardinería y composiciones florales,39.0,BASICO,0,40,3
AMBOS SEXOS,Almería,Aprovechamientos forestales,4.0,BASICO,0,46,3
AMBOS SEXOS,Almería,04 ARTES GRÁFICAS,0.0,BASICO,0,3,3
AMBOS SEXOS,Almería,Artes gráficas,0.0,BASICO,0,48,3
AMBOS SEXOS,Almería,06 COMERCIO Y MARKETING,0.0,BASICO,0,5,3
AMBOS SEXOS,Almería,Servicios comerciales,0.0,BASICO,0,190,3
AMBOS SEXOS,Almería,07 EDIFICACIÓN Y OBRA CIVIL,6.0,BASICO,0,6,3
AMBOS SEXOS,Almería,Reforma y mantenimiento de edificios,6.0,BASICO,0,188,3
AMBOS SEXOS,Almería,08 ELECTRICIDAD Y ELECTRÓNICA,32.0,BASICO,0,7,3
AMBOS SEXOS,Almería,Electricidad y electrónica,32.0,BASICO,0,91,3
AMBOS SEXOS,Almería,Instalaciones electrotécnicas y mecánica,0.0,BASICO,0,128,3
AMBOS SEXOS,Almería,10 FABRICACIÓN MECÁNICA,16.0,BASICO,0,9,3
AMBOS SEXOS,Almería,Fabricación de elementos metálicos,0.0,BASICO,0,104,3
AMBOS SEXOS,Almería,Fabricación y montaje,16.0,BASICO,0,107,3
AMBOS SEXOS,Almería,11 HOSTELERÍA Y TURISMO,17.0,BASICO,0,10,3
AMBOS SEXOS,Almería,Actividades de panadería y pastelería,0.0,BASICO,0,31,3
AMBOS SEXOS,Almería,Alojamiento y lavandería,2.0,BASICO,0,41,3
AMBOS SEXOS,Almería,Cocina y restauración,15.0,BASICO,0,62,3
AMBOS SEXOS,Almería,12 IMAGEN PERSONAL,18.0,BASICO,0,11,3
AMBOS SEXOS,Almería,Peluquería y estética,18.0,BASICO,0,167,3
AMBOS SEXOS,Almería,14 INDUSTRIAS ALIMENTARIAS,0.0,BASICO,0,13,3
AMBOS SEXOS,Almería,Industrias alimentarias,0.0,BASICO,0,122,3
AMBOS SEXOS,Almería,16 INFORMÁTICA Y COMUNICACIONES,35.0,BASICO,0,15,3
AMBOS SEXOS,Almería,Informática de oficina,10.0,BASICO,0,124,3
AMBOS SEXOS,Almería,Informática y comunicaciones,25.0,BASICO,0,125,3
AMBOS SEXOS,Almería,17 INSTALACIÓN Y MANTENIMIENTO,0.0,BASICO,0,16,3
AMBOS SEXOS,Almería,Mantenimiento de viviendas,0.0,BASICO,0,147,3
AMBOS SEXOS,Almería,"18 MADERA, MUEBLE Y CORCHO",2.0,BASICO,0,17,3
AMBOS SEXOS,Almería,Carpintería y mueble,2.0,BASICO,0,58,3
AMBOS SEXOS,Almería,19 MARÍTIMO-PESQUERA,0.0,BASICO,0,18,3
AMBOS SEXOS,Almería,Actividades marítimo-pesqueras,0.0,BASICO,0,34,3
AMBOS SEXOS,Almería,23 SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD,5.0,BASICO,0,22,3
AMBOS SEXOS,Almería,Actividades domésticas y limpieza de edificios,5.0,BASICO,0,32,3
AMBOS SEXOS,Almería,"24 TEXTIL, CONFECCIÓN Y PIEL",0.0,BASICO,0,23,3
AMBOS SEXOS,Almería,Arreglo y reparación de artículos textiles y de piel,0.0,BASICO,0,47,3
AMBOS SEXOS,Almería,Tapicería y cortinaje,0.0,BASICO,0,197,3
AMBOS SEXOS,Almería,25 TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS,26.0,BASICO,0,24,3
AMBOS SEXOS,Almería,Mantenimiento de embarcaciones deportivas y de recreo,4.0,BASICO,0,142,3
AMBOS SEXOS,Almería,Mantenimiento de vehículos,22.0,BASICO,0,146,3
AMBOS SEXOS,Almería,26 VIDRIO Y CERÁMICA,0.0,BASICO,0,25,3
AMBOS SEXOS,Almería,Vidriería y alfarería,0.0,BASICO,0,202,3
AMBOS SEXOS,Cádiz,01 ACTIVIDADES FÍSICAS Y DEPORTIVAS,0.0,BASICO,0,0,3
AMBOS SEXOS,Cádiz,Acceso y Conservación en Instalaciones Deportivas,0.0,BASICO,0,26,3
AMBOS SEXOS,Cádiz,02 ADMINISTRACIÓN Y GESTIÓN,189.0,BASICO,0,1,5
AMBOS SEXOS,Cádiz,Servicios administrativos,189.0,BASICO,0,189,5
AMBOS SEXOS,Cádiz,03 AGRARIA,50.0,BASICO,0,2,3
AMBOS SEXOS,Cádiz,Actividades agropecuarias,0.0,BASICO,0,29,3
AMBOS SEXOS,Cádiz,Agro-jardinería y composiciones florales,47.0,BASICO,0,40,3
AMBOS SEXOS,Cádiz,Aprovechamientos forestales,3.0,BASICO,0,46,3
AMBOS SEXOS,Cádiz,04 ARTES GRÁFICAS,0.0,BASICO,0,3,3
AMBOS SEXOS,Cádiz,Artes gráficas,0.0,BASICO,0,48,3
AMBOS SEXOS,Cádiz,06 COMERCIO Y MARKETING,13.0,BASICO,0,5,3
AMBOS SEXOS,Cádiz,Servicios comerciales,13.0,BASICO,0,190,3
AMBOS SEXOS,Cádiz,07 EDIFICACIÓN Y OBRA CIVIL,16.0,BASICO,0,6,3
AMBOS SEXOS,Cádiz,Reforma y mantenimiento de edificios,16.0,BASICO,0,188,3
AMBOS SEXOS,Cádiz,08 ELECTRICIDAD Y ELECTRÓNICA,63.0,BASICO,0,7,3
AMBOS SEXOS,Cádiz,Electricidad y electrónica,63.0,BASICO,0,91,3
AMBOS SEXOS,Cádiz,Instalaciones electrotécnicas y mecánica,0.0,BASICO,0,128,3
AMBOS SEXOS,Cádiz,10 FABRICACIÓN MECÁNICA,55.0,BASICO,0,9,3
AMBOS SEXOS,Cádiz,Fabricación de elementos metálicos,0.0,BASICO,0,104,3
AMBOS SEXOS,Cádiz,Fabricación y montaje,55.0,BASICO,0,107,3
AMBOS SEXOS,Cádiz,11 HOSTELERÍA Y TURISMO,51.0,BASICO,0,10,3
AMBOS SEXOS,Cádiz,Actividades de panadería y pastelería,0.0,BASICO,0,31,3
AMBOS SEXOS,Cádiz,Alojamiento y lavandería,10.0,BASICO,0,41,3
AMBOS SEXOS,Cádiz,Cocina y restauración,41.0,BASICO,0,62,3
AMBOS SEXOS,Cádiz,12 IMAGEN PERSONAL,20.0,BASICO,0,11,3
AMBOS SEXOS,Cádiz,Peluquería y estética,20.0,BASICO,0,167,3
AMBOS SEXOS,Cádiz,14 INDUSTRIAS ALIMENTARIAS,0.0,BASICO,0,13,3
AMBOS SEXOS,Cádiz,Industrias alimentarias,0.0,BASICO,0,122,3
AMBOS SEXOS,Cádiz,16 INFORMÁTICA Y COMUNICACIONES,103.0,BASICO,0,15,3
AMBOS SEXOS,Cádiz,Informática de oficina,15.0,BASICO,0,124,3
AMBOS SEXOS,Cádiz,Informática y comunicaciones,88.0,BASICO,0,125,3
AMBOS SEXOS,Cádiz,17 INSTALACIÓN Y MANTENIMIENTO,0.0,BASICO,0,16,3
AMBOS SEXOS,Cádiz,Mantenimiento de viviendas,0.0,BASICO,0,147,3
AMBOS SEXOS,Cádiz,"18 MADERA, MUEBLE Y CORCHO",19.0,BASICO,0,17,3
AMBOS SEXOS,Cádiz,Carpintería y mueble,19.0,BASICO,0,58,3
AMBOS SEXOS,Cádiz,19 MARÍTIMO-PESQUERA,0.0,BASICO,0,18,3
